Stock quote and option quote for AIG on 6/14/19 21:44:11

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
53.31,N,+.11,51.00,P,53.49,P,2 x 3,"3,206,876",53.27,53.43,52.85

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.40%,-183.8,.32,Q,6/13/19,56.36,36.16,"869,753,580",0.83

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,AIG190614C35,0,0,504.87%,39.09,.913,.00,.003,-.828,.00,0, ,18.325,0,42,38,92.80%,7.20%,13.64%,10.28%,10.28%,18.10,Z,18.55,Z,14 JUN 19,35,0,J,.03,C,AIG190614P35,0,0,323.29%,14.44,-.005,.002,.00,-.147,.00,0, ,.015,0,0,112,0.81%,99.19%,1.58%,10.28%,<empty>,,
,,AIG190614C40,0,0,338.96%,31.12,.924,.003,.003,-.581,.00,0, ,13.375,0,72,13,93.71%,6.29%,12.13%,44.53%,44.53%,13.15,B,13.60,H,14 JUN 19,40,0,A,.03,C,AIG190614P40,0,225,229.13%,11.83,-.007,.003,.001,-.130,.00,.01,Z,.015,.01,0,173,0.97%,99.03%,1.91%,10.28%,<empty>,,
,,AIG190614C41,0,0,292.14%,28.23,.929,.001,.003,-.468,.00,0, ,12.325,0,72,72,94.96%,5.04%,9.77%,10.28%,10.28%,12.15,B,12.50,B,14 JUN 19,41,0,A,.03,H,AIG190614P41,0,274,211.35%,11.19,-.008,.004,.001,-.125,.00,.01,Z,.015,.01,0,51,1.02%,98.98%,2.00%,10.28%,<empty>,,
,,AIG190614C42,0,0,270.71%,26.61,.930,.003,.003,-.449,.00,0, ,11.350,0,88,88,94.66%,5.34%,10.38%,27.41%,27.41%,11.10,B,11.60,B,14 JUN 19,42,0,A,.03,M,AIG190614P42,0,150,193.83%,10.52,-.008,.004,.001,-.121,.00,.01,Z,.015,.01,0,86,1.07%,98.93%,2.11%,10.28%,<empty>,,
,,AIG190614C43,0,0,234.46%,23.93,.934,.001,.003,-.372,.00,9.94,I,10.325,9.94,72,72,95.45%,4.55%,8.87%,10.28%,10.28%,10.15,B,10.50,B,14 JUN 19,43,0,J,.03,M,AIG190614P43,0,78,177.09%,9.85,-.009,.005,.001,-.117,.00,.01,Z,.015,.01,0,177,1.15%,98.85%,2.27%,10.28%,<empty>,,
,,AIG190614C44,0,0,215.84%,22.28,.934,.004,.003,-.359,.00,0, ,9.350,0,72,93,94.98%,5.02%,9.81%,27.41%,27.41%,9.10,B,9.60,M,14 JUN 19,44,0,J,.02,I,AIG190614P44,0,85,151.96%,8.49,-.007,.005,.001,-.088,.00,.01,Z,.010,.01,0,122,0.88%,99.12%,1.74%,6.85%,<empty>,,
,,AIG190614C45,0,0,198.16%,20.63,.933,.008,.003,-.351,.00,5.98,C,8.375,5.98,72,88,94.32%,5.68%,11.11%,44.53%,44.53%,8.15,B,8.60,B,14 JUN 19,45,0,I,.02,H,AIG190614P45,0,1,136.16%,7.78,-.008,.006,.001,-.084,.00,.18,C,.010,.18,0,59,0.96%,99.04%,1.89%,6.85%,<empty>,,
,,AIG190614C45.5,0,0,177.84%,18.92,.937,.007,.003,-.299,.00,0, ,7.850,0,82,88,95.11%,4.89%,9.59%,27.41%,27.41%,7.65,H,8.05,B,14 JUN 19,45.5,0,A,.03,M,AIG190614P45.5,0,0,135.04%,7.94,-.011,.008,.001,-.103,.00,0, ,.015,0,0,52,1.37%,98.63%,2.70%,10.28%,<empty>,,
,,AIG190614C46,0,0,157.33%,17.14,.940,.003,.003,-.246,.00,6.79,X,7.325,6.79,72,88,96.00%,4.00%,7.88%,10.28%,10.28%,7.15,B,7.50,H,14 JUN 19,46,0,I,.03,M,AIG190614P46,0,6,126.91%,7.55,-.012,.009,.001,-.101,.00,.02,Z,.015,.02,0,57,1.43%,98.57%,2.84%,10.28%,<empty>,,
,,AIG190614C46.5,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,6.800,0,72,26,100.00%,0.00%,<empty>,-6.85%,0.00%,6.65,B,6.95,N,14 JUN 19,46.5,0,A,.03,B,AIG190614P46.5,0,0,118.44%,7.12,-.013,.010,.001,-.097,.00,0, ,.015,0,0,31,1.48%,98.52%,2.94%,10.28%,<empty>,,
