Stock quote and option quote for BP on 6/14/19 21:46:56

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
40.91,N,-.31,40.86,P,41.20,P,4 x 1,"4,560,294",40.87,40.97,40.76

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
6.01%,13.97,.615,Q,5/9/19,47.25,36.28,"3,391,322,800",0.64

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,BP190614C34,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,6.875,0,123,42,100.00%,0.00%,<empty>,-31.25%,0.00%,6.80,H,6.95,Q,14 JUN 19,34,0,J,.02,H,BP190614P34,0,0,151.87%,6.71,-.009,.007,.001,-.078,.00,0, ,.010,0,0,213,1.11%,98.89%,2.19%,8.93%,<empty>,,
,,BP190614C35,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,5.850,0,120,42,100.00%,0.00%,<empty>,-53.57%,0.00%,5.75,B,5.95,Q,14 JUN 19,35,0,J,.06,X,BP190614P35,0,0,153.80%,7.36,-.024,.017,.001,-.138,.00,.01,C,.030,.01,0,561,2.89%,97.11%,5.69%,26.78%,<empty>,,
,,BP190614C35.5,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,5.375,0,15,42,100.00%,0.00%,<empty>,-31.25%,0.00%,5.30,P,5.45,Q,14 JUN 19,35.5,0,J,.06,X,BP190614P35.5,0,0,141.49%,6.88,-.025,.020,.001,-.132,.00,0, ,.030,0,0,680,3.02%,96.98%,5.96%,26.78%,<empty>,,
,,BP190614C36,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,4.875,0,188,19,100.00%,0.00%,<empty>,-31.25%,0.00%,4.80,H,4.95,A,14 JUN 19,36,0,C,.03,H,BP190614P36,20,20,116.43%,5.58,-.017,.017,.001,-.086,.00,.01,C,.015,.01,0,178,1.94%,98.06%,3.83%,13.39%,<empty>,,
,,BP190614C36.5,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,4.375,0,23,35,100.00%,0.00%,<empty>,-31.25%,0.00%,4.30,W,4.45,W,14 JUN 19,36.5,0,J,.06,B,BP190614P36.5,0,0,117.79%,5.93,-.030,.027,.001,-.121,.00,0, ,.030,0,0,178,3.45%,96.55%,6.82%,26.78%,<empty>,,
,,BP190614C37,0,9,--,<empty>,1.000,.00,.00,.00,.00,5.41,M,3.900,5.41,130,27,100.00%,0.00%,<empty>,-8.93%,0.00%,3.80,B,4.00,W,14 JUN 19,37,0,J,.06,B,BP190614P37,0,1,106.14%,5.44,-.033,.033,.002,-.116,.00,.12,B,.030,.12,0,178,3.76%,96.24%,7.43%,26.78%,<empty>,,
,,BP190614C37.5,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,3.400,0,8,42,100.00%,0.00%,<empty>,-8.93%,0.00%,3.35,P,3.45,Q,14 JUN 19,37.5,0,J,.07,W,BP190614P37.5,0,0,97.13%,5.11,-.041,.043,.002,-.120,.00,0, ,.035,0,0,62,4.60%,95.40%,9.09%,31.25%,<empty>,,
,,BP190614C38,0,70,--,<empty>,1.000,.00,.00,.00,.00,2.95,A,2.880,2.95,49,11,100.00%,0.00%,<empty>,-26.78%,0.00%,2.84,Z,2.92,H,14 JUN 19,38,0,J,.02,W,BP190614P38,0,10,68.00%,3.44,-.018,.031,.001,-.053,.00,.11,C,.010,.11,0,110,2.00%,98.00%,3.98%,8.93%,<empty>,,
,,BP190614C38.5,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,2.390,0,21,128,100.00%,0.00%,<empty>,-17.86%,0.00%,2.32,Z,2.46,B,14 JUN 19,38.5,0,I,.02,H,BP190614P38.5,0,10,57.40%,2.97,-.021,.041,.001,-.049,.00,.02,X,.010,.02,0,244,2.26%,97.74%,4.49%,8.93%,<empty>,,
,,BP190614C39,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,1.890,0,120,51,100.00%,0.00%,<empty>,-17.86%,0.00%,1.83,B,1.95,Q,14 JUN 19,39,0,C,.02,H,BP190614P39,40,206,47.23%,2.52,-.026,.060,.001,-.046,.00,.01,C,.010,.01,0,78,2.76%,97.24%,5.48%,8.93%,<empty>,,
