Stock quote and option quote for FCX on 6/14/19 21:46:09

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
10.65,N,-.18,10.66,P,10.70,P,62 x 10,"14,385,734",10.75,10.84,10.595

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
1.88%,8.008,.05,Q,4/12/19,18.135,9.4733,"1,450,634,600",1.55

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,FCX190614C5,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,5.600,0,19,93,100.00%,0.00%,0.00%,-205.58%,0.00%,5.50,P,5.70,P,14 JUN 19,5,0,B,.03,M,FCX190614P5,0,0,679.80%,3.76,-.011,.007,.00,-.089,.00,0, ,.015,0,0,"1,244",2.56%,97.44%,4.81%,51.39%,<empty>,,
,,FCX190614C6,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,4.650,0,192,121,100.00%,0.00%,0.00%,-34.26%,0.00%,4.60,B,4.70,H,14 JUN 19,6,0,B,.03,X,FCX190614P6,0,0,528.54%,3.86,-.013,.012,.00,-.082,.00,0, ,.015,0,0,"1,151",2.62%,97.38%,4.99%,51.39%,<empty>,,
,,FCX190614C7,0,100,--,<empty>,1.000,.00,.00,.00,.00,3.61,B,3.650,3.61,884,208,100.00%,0.00%,0.00%,-34.26%,0.00%,3.60,M,3.70,X,14 JUN 19,7,0,B,.03,X,FCX190614P7,0,0,400.86%,3.64,-.017,.019,.00,-.074,.00,0, ,.015,0,0,"1,250",2.87%,97.13%,5.52%,51.39%,<empty>,,
,,FCX190614C7.5,0,39,--,<empty>,1.000,.00,.00,.00,.00,2.99,H,3.150,2.99,237,242,100.00%,0.00%,0.00%,-34.26%,0.00%,3.10,H,3.20,H,14 JUN 19,7.5,0,B,.03,X,FCX190614P7.5,0,0,344.21%,3.43,-.021,.026,.00,-.071,.00,0, ,.015,0,0,973,3.13%,96.87%,6.05%,51.39%,<empty>,,
,,FCX190614C8,0,101,0.00%,2.66,1.000,.00,.00,.00,.00,2.78,T,2.660,2.78,87,516,100.00%,0.00%,0.00%,0.00%,0.00%,2.64,N,2.68,M,14 JUN 19,8,0,B,.03,X,FCX190614P8,0,0,287.57%,3.11,-.024,.035,.00,-.065,.00,0, ,.015,0,0,"1,233",3.34%,96.66%,6.50%,51.39%,<empty>,,
,,FCX190614C8.5,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,2.155,0,192,109,100.00%,0.00%,0.00%,-17.13%,0.00%,2.12,B,2.19,N,14 JUN 19,8.5,0,B,.03,X,FCX190614P8.5,0,38,235.61%,2.74,-.029,.050,.00,-.060,.00,.03,I,.015,.03,0,"1,058",3.79%,96.21%,7.41%,51.39%,<empty>,,
,,FCX190614C9,0,254,--,<empty>,1.000,.00,.00,.00,.00,1.86,X,1.650,1.86,253,12,100.00%,0.00%,0.00%,-34.26%,0.00%,1.64,W,1.66,Q,14 JUN 19,9,0,B,.03,X,FCX190614P9,0,252,184.21%,2.29,-.036,.076,.00,-.054,.00,.01,C,.015,.01,0,"1,136",4.38%,95.62%,8.60%,51.39%,<empty>,,
,,FCX190614C9.5,67,215,--,<empty>,1.000,.00,.00,.00,.00,1.33,N,1.155,1.33,67,219,100.00%,0.00%,0.00%,-17.13%,0.00%,1.14,P,1.17,M,14 JUN 19,9.5,0,Q,.01,Q,FCX190614P9.5,0,373,110.38%,1.39,-.021,.084,.00,-.024,.00,.01,Z,.005,.01,0,1,2.46%,97.54%,4.88%,17.13%,<empty>,,
,,FCX190614C10,554,"2,447",--,<empty>,1.000,.00,.00,.00,.00,.68,N,.655,.68,134,15,100.00%,0.00%,0.00%,-17.13%,0.00%,.64,H,.67,W,14 JUN 19,10,0,Q,.01,Q,FCX190614P10,2,"1,803",67.32%,.90181667,-.033,.198,.00,-.019,.00,.01,Q,.005,.01,0,50,3.62%,96.38%,7.18%,17.13%,<empty>,,
,,FCX190614C10.5,"1,008","3,460",--,<empty>,1.000,.00,.00,.00,.00,.18,X,.155,.18,12,12,100.00%,0.00%,0.00%,-17.13%,0.00%,.14,N,.17,N,14 JUN 19,10.5,0,C,.01,C,FCX190614P10.5,174,"1,304",21.59%,.31955006,-.089,1.340,.001,-.011,.00,.01,X,.005,.01,0,5,9.11%,90.89%,18.18%,17.13%,<empty>,,
,,FCX190614C11,380,"6,025",37.59%,.55415814,.056,.541,.001,-.015,.00,.02,X,.005,.02,0,434,5.42%,94.58%,10.88%,17.13%,1182.07%,0,N,.01,H,14 JUN 19,11,.33,H,.39,X,FCX190614P11,119,626,53.86%,1.19,-.862,.697,.001,-.033,.00,.36,E,.360,.36,11,21,87.03%,12.97%,26.12%,68.53%,<empty>,,
,,FCX190614C11.5,0,781,76.59%,1.09,.031,.162,.00,-.021,.00,.01,M,.005,.01,0,84,2.79%,97.21%,5.62%,17.13%,2895.21%,0,P,.01,P,14 JUN 19,11.5,.83,E,.88,N,FCX190614P11.5,72,361,97.84%,2.31,-.917,.202,.001,-.045,.00,.88,N,.855,.88,392,7,93.41%,6.59%,13.33%,51.39%,<empty>,,
,,FCX190614C12,0,303,133.94%,1.99,.049,.136,.001,-.049,.00,.01,A,.015,.01,0,436,4.23%,95.77%,8.59%,51.39%,4642.62%,0,B,.03,X,14 JUN 19,12,1.28,B,1.41,W,FCX190614P12,10,47,128.24%,3.20,-.934,.042,.001,-.046,.00,1.40,X,1.345,1.40,192,262,96.39%,3.61%,7.32%,17.13%,<empty>,,
,,FCX190614C12.5,0,505,142.32%,2.00,.018,.055,.00,-.030,.00,.01,Z,.005,.01,0,7,1.48%,98.52%,3.00%,17.13%,6321.50%,0,Q,.01,Q,14 JUN 19,12.5,1.83,N,1.86,N,FCX190614P12.5,11,46,173.06%,4.36,-.927,.024,.001,-.065,.00,1.88,H,1.845,1.88,12,12,96.43%,3.57%,7.26%,17.13%,<empty>,,
,,FCX190614C13,0,24,203.10%,2.97,.035,.068,.00,-.062,.00,.03,X,.015,.03,0,"1,226",2.74%,97.26%,5.60%,51.39%,8068.91%,0,B,.03,X,14 JUN 19,13,2.33,P,2.36,P,FCX190614P13,0,8,216.94%,5.48,-.920,.014,.001,-.084,.00,2.14,Z,2.345,2.14,70,68,96.45%,3.55%,7.27%,17.13%,<empty>,,
,,FCX190614C13.5,0,63,234.51%,3.41,.031,.054,.00,-.068,.00,.04,C,.015,.04,0,973,2.35%,97.65%,4.81%,51.39%,9782.05%,0,B,.03,X,14 JUN 19,13.5,2.81,Q,2.87,B,FCX190614P13.5,0,0,0.00%,2.84,-1.000,.00,.00,.00,.00,3.35,I,2.840,3.35,76,74,100.00%,0.00%,<empty>,0.00%,<empty>,,
,,FCX190614C14,0,7,263.17%,3.81,.028,.044,.00,-.072,.00,.05,E,.015,.05,0,"1,051",2.03%,97.97%,4.16%,51.39%,11495.19%,0,B,.03,X,14 JUN 19,14,3.30,Z,3.45,H,FCX190614P14,0,0,341.10%,8.16,-.893,.035,.001,-.167,.00,3.94,I,3.375,3.94,16,411,94.70%,5.30%,11.03%,119.92%,<empty>,,
,,FCX190614C14.5,0,17,290.52%,4.17,.026,.037,.00,-.076,.00,.03,I,.015,.03,0,"1,025",1.79%,98.21%,3.68%,51.39%,13208.34%,0,B,.03,X,14 JUN 19,14.5,3.80,B,4.10,H,FCX190614P14.5,0,0,455.40%,9.98,-.853,.053,.001,-.273,.00,4.47,I,3.950,4.47,96,289,92.08%,7.92%,16.79%,376.89%,<empty>,,
,,FCX190614C15,0,3,317.66%,4.53,.024,.032,.00,-.081,.00,.02,C,.015,.02,0,"1,227",1.63%,98.37%,3.35%,51.39%,14921.48%,0,B,.03,X,14 JUN 19,15,4.30,Z,4.45,H,FCX190614P15,0,0,427.50%,10.07,-.879,.021,.001,-.216,.00,0, ,4.375,0,18,411,94.94%,5.06%,10.64%,119.92%,<empty>,,
,,FCX190614C15.5,0,36,401.21%,5.72,.047,.044,.001,-.147,.00,.01,C,.040,.01,0,"1,422",2.95%,97.05%,6.16%,137.05%,16720.28%,0,P,.08,X,14 JUN 19,15.5,4.80,W,5.10,H,FCX190614P15.5,0,0,540.30%,11.63,-.845,.037,.001,-.324,.00,0, ,4.950,0,222,321,92.86%,7.14%,15.29%,376.89%,<empty>,,
,,FCX190614C16,0,0,428.06%,6.02,.044,.039,.001,-.154,.00,0, ,.040,0,0,"1,435",2.71%,97.29%,5.67%,137.05%,18433.42%,0,P,.08,X,14 JUN 19,16,5.25,E,5.45,X,FCX190614P16,0,0,489.45%,11.56,-.870,.005,.001,-.244,.00,0, ,5.350,0,295,374,95.67%,4.33%,9.16%,34.26%,<empty>,,
,,FCX190614C16.5,0,0,453.00%,6.29,.042,.036,.001,-.159,.00,0, ,.040,0,0,"1,428",2.49%,97.51%,5.22%,137.05%,20146.57%,0,C,.08,X,14 JUN 19,16.5,5.75,E,6.10,M,FCX190614P16.5,0,0,603.69%,12.98,-.840,.023,.001,-.353,.00,0, ,5.925,0,272,419,93.83%,6.17%,13.29%,291.23%,<empty>,,
,,FCX190614C17,0,0,477.60%,6.55,.041,.033,.00,-.165,.00,0, ,.040,0,0,"1,365",2.32%,97.68%,4.87%,137.05%,21859.71%,0,P,.08,X,14 JUN 19,17,6.25,B,6.45,X,FCX190614P17,0,3,578.41%,13.20,-.852,.003,.001,-.305,.00,6.45,A,6.350,6.45,224,367,95.48%,4.52%,9.67%,34.26%,<empty>,,

21 JUN 19  (7)  100
