Stock quote and option quote for FEYE on 6/14/19 21:44:51

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
14.42,Q,-.18,14.31,P,14.55,P,10 x 10,"1,639,667",14.54,14.60,14.31

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
<empty>,-11.44,<empty>,--,,20.61,13.85,"205,069,600",1.11

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,FEYE190614C9.5,0,0,422.67%,10.33,.977,.017,.00,-.087,.00,0, ,4.950,0,449,243,96.22%,3.78%,7.25%,75.99%,75.99%,4.75,X,5.15,C,14 JUN 19,9.5,0,D,.08,X,FEYE190614P9.5,0,0,446.55%,5.48,-.029,.019,.00,-.148,.00,0, ,.040,0,0,522,4.75%,95.25%,9.08%,101.32%,<empty>,,
,,FEYE190614C10,0,0,377.38%,9.58,.975,.021,.00,-.085,.00,0, ,4.450,0,11,120,96.04%,3.96%,7.63%,75.99%,75.99%,4.35,H,4.55,B,14 JUN 19,10,0,D,.13,X,FEYE190614P10,0,0,439.38%,5.76,-.044,.028,.001,-.187,.00,0, ,.065,0,0,517,6.98%,93.02%,13.31%,164.64%,<empty>,,
,,FEYE190614C11,0,0,330.06%,8.56,.951,.041,.001,-.127,.00,0, ,3.475,0,283,277,93.08%,6.92%,13.35%,139.31%,139.31%,3.30,C,3.65,H,14 JUN 19,11,0,A,.13,X,FEYE190614P11,0,0,343.36%,5.20,-.055,.043,.001,-.168,.00,0, ,.065,0,0,469,7.82%,92.18%,15.05%,164.64%,<empty>,,
,,FEYE190614C11.5,0,0,307.11%,8.01,.932,.057,.001,-.153,.00,0, ,2.995,0,43,21,90.79%,9.21%,17.77%,189.97%,189.97%,2.89,B,3.10,Z,14 JUN 19,11.5,0,A,.13,C,FEYE190614P11.5,0,0,297.47%,4.80,-.063,.055,.001,-.158,.00,0, ,.065,0,0,344,8.44%,91.56%,16.31%,164.64%,<empty>,,
,,FEYE190614C12,0,0,211.57%,6.03,.957,.057,.001,-.074,.00,0, ,2.450,0,43,17,94.57%,5.43%,10.62%,75.99%,75.99%,2.39,B,2.51,Z,14 JUN 19,12,0,Q,.05,Q,FEYE190614P12,0,0,205.15%,3.41,-.039,.054,.001,-.084,.00,0, ,.025,0,0,3,4.86%,95.14%,9.52%,63.32%,<empty>,,
,,FEYE190614C12.5,0,0,194.20%,5.47,.928,.094,.001,-.102,.00,0, ,1.970,0,44,21,91.24%,8.76%,17.12%,126.64%,126.64%,1.88,B,2.06,Z,14 JUN 19,12.5,0,A,.08,C,FEYE190614P12.5,0,0,184.89%,3.29,-.064,.089,.001,-.100,.00,0, ,.040,0,0,221,7.65%,92.35%,14.98%,101.32%,<empty>,,
,,FEYE190614C13,0,20,94.82%,3.06,.983,.059,.00,-.016,.00,2.27,N,1.425,2.27,11,11,98.06%,1.94%,3.85%,12.66%,12.66%,1.38,H,1.47,H,14 JUN 19,13,0,A,.13,B,FEYE190614P13,0,0,164.32%,3.14,-.106,.147,.001,-.117,.00,0, ,.065,0,0,142,12.23%,87.77%,23.97%,164.64%,<empty>,,
,,FEYE190614C13.5,0,16,98.59%,2.90,.904,.229,.001,-.064,.00,1.01,C,.955,1.01,42,21,89.50%,10.50%,20.76%,88.65%,88.65%,.88,B,1.03,N,14 JUN 19,13.5,0,A,.13,B,FEYE190614P13.5,0,94,119.52%,2.41,-.139,.245,.002,-.097,.00,.06,X,.065,.06,0,138,15.29%,84.71%,30.12%,164.64%,<empty>,,
,,FEYE190614C14,10,17,38.86%,1.22,.929,.464,.001,-.021,.00,.47,H,.430,.47,8,7,92.60%,7.40%,14.76%,25.33%,25.33%,.41,Q,.45,N,14 JUN 19,14,0,D,.06,X,FEYE190614P14,0,354,53.74%,1.10,-.143,.557,.002,-.045,.00,.04,X,.030,.04,0,"1,040",14.93%,85.07%,29.69%,75.99%,<empty>,,
,,FEYE190614C14.5,82,689,18.54%,.45831847,.288,2.439,.003,-.024,.00,.01,Z,.025,.01,0,"1,077",28.47%,71.53%,56.90%,63.32%,265.95%,0,D,.05,X,14 JUN 19,14.5,.04,Z,.09,W,FEYE190614P14.5,90,450,--,<empty>,-1.000,.00,.00,.00,.00,.02,Q,.065,.02,10,111,100.00%,0.00%,<empty>,-37.99%,<empty>,,
,,FEYE190614C15,1,"1,653",49.02%,1.01,.064,.339,.001,-.023,.00,.01,W,.010,.01,0,4,6.08%,93.92%,12.22%,25.33%,1494.40%,0,H,.02,H,14 JUN 19,15,.55,P,.59,Q,FEYE190614P15,10,53,--,<empty>,-1.000,.00,.00,.00,.00,.57,X,.570,.57,65,8,100.00%,0.00%,<empty>,-25.33%,<empty>,,
,,FEYE190614C15.5,10,282,95.76%,2.00,.079,.203,.001,-.053,.00,.01,N,.025,.01,0,885,7.14%,92.86%,14.44%,63.32%,2798.84%,0,J,.05,X,14 JUN 19,15.5,.96,C,1.12,P,FEYE190614P15.5,0,36,--,<empty>,-1.000,.00,.00,.00,.00,.76,H,1.040,.76,262,67,100.00%,0.00%,<empty>,-101.32%,<empty>,,
,,FEYE190614C16,0,207,94.96%,1.81,.019,.066,.00,-.017,.00,.02,M,.005,.02,0,100,1.72%,98.28%,3.46%,12.66%,4014.62%,0,D,.01,Z,14 JUN 19,16,1.45,H,1.64,P,FEYE190614P16,0,12,--,<empty>,-1.000,.00,.00,.00,.00,1.20,Z,1.545,1.20,314,66,100.00%,0.00%,<empty>,-88.65%,<empty>,,
,,FEYE190614C16.5,0,14,166.12%,3.44,.066,.102,.001,-.081,.00,.26,X,.035,.26,0,420,5.56%,94.44%,11.33%,88.65%,5357.05%,0,D,.07,X,14 JUN 19,16.5,1.89,X,2.22,C,FEYE190614P16.5,0,0,--,<empty>,-1.000,.00,.00,.00,.00,2.01,C,2.055,2.01,196,236,100.00%,0.00%,<empty>,-63.32%,<empty>,,
,,FEYE190614C17,0,52,193.87%,3.98,.058,.079,.001,-.085,.00,.19,B,.035,.19,0,198,4.72%,95.28%,9.64%,88.65%,6623.50%,0,D,.07,C,14 JUN 19,17,2.48,C,2.62,N,FEYE190614P17,0,0,--,<empty>,-1.000,.00,.00,.00,.00,0, ,2.550,0,224,11,100.00%,0.00%,<empty>,-75.99%,<empty>,,
,,FEYE190614C17.5,0,46,220.40%,4.50,.053,.065,.001,-.089,.00,.03,C,.035,.03,0,191,4.13%,95.87%,8.46%,88.65%,7889.94%,0,A,.07,X,14 JUN 19,17.5,2.98,C,3.15,C,FEYE190614P17.5,0,1,--,<empty>,-1.000,.00,.00,.00,.00,3.33,C,3.065,3.33,15,15,100.00%,0.00%,<empty>,-37.99%,<empty>,,
,,FEYE190614C18,0,0,245.02%,4.97,.048,.054,.001,-.092,.00,0, ,.035,0,0,236,3.65%,96.35%,7.49%,88.65%,9156.38%,0,D,.07,C,14 JUN 19,18,3.10,X,3.80,C,FEYE190614P18,0,0,--,<empty>,-1.000,.00,.00,.00,.00,0, ,3.450,0,648,265,100.00%,0.00%,<empty>,-329.28%,<empty>,,
,,FEYE190614C18.5,0,0,308.75%,6.34,.072,.059,.001,-.160,.00,0, ,.070,0,0,233,5.23%,94.77%,10.84%,177.30%,10511.48%,0,A,.14,C,14 JUN 19,18.5,3.95,N,4.30,H,FEYE190614P18.5,0,0,311.06%,10.11,-.897,.030,.001,-.202,.00,0, ,4.125,0,13,15,94.65%,5.35%,11.09%,113.98%,<empty>,,
,,FEYE190614C19,0,0,291.17%,5.84,.041,.040,.001,-.098,.00,0, ,.035,0,0,274,2.96%,97.04%,6.11%,88.65%,11689.27%,0,A,.07,C,14 JUN 19,19,4.30,X,4.70,X,FEYE190614P19,0,0,--,<empty>,-1.000,.00,.00,.00,.00,0, ,4.500,0,492,569,100.00%,0.00%,<empty>,-202.63%,<empty>,,
,,FEYE190614C19.5,0,0,357.14%,7.21,.064,.047,.001,-.169,.00,0, ,.070,0,0,193,4.38%,95.62%,9.12%,177.30%,13044.36%,0,A,.14,C,14 JUN 19,19.5,4.80,X,5.35,X,FEYE190614P19.5,0,0,--,<empty>,-1.000,.00,.00,.00,.00,0, ,5.075,0,384,361,100.00%,0.00%,<empty>,-12.66%,<empty>,,
,,FEYE190614C20,0,0,334.29%,6.63,.037,.032,.001,-.103,.00,0, ,.035,0,0,250,2.52%,97.48%,5.21%,88.65%,14222.16%,0,A,.07,C,14 JUN 19,20,5.35,X,5.80,H,FEYE190614P20,0,0,--,<empty>,-1.000,.00,.00,.00,.00,0, ,5.575,0,647,283,100.00%,0.00%,<empty>,-12.66%,<empty>,,
,,FEYE190614C20.5,0,0,401.60%,7.97,.058,.038,.001,-.177,.00,0, ,.070,0,0,428,3.76%,96.24%,7.87%,177.30%,15577.25%,0,A,.14,X,14 JUN 19,20.5,5.70,X,6.55,X,FEYE190614P20.5,0,0,439.43%,13.96,-.877,.014,.001,-.301,.00,0, ,6.125,0,406,383,95.00%,5.00%,10.53%,113.98%,<empty>,,
,,FEYE190614C21,0,0,354.57%,6.92,.027,.023,.00,-.082,.00,0, ,.025,0,0,5,1.71%,98.29%,3.53%,63.32%,16729.71%,0,Q,.05,Q,14 JUN 19,21,6.45,C,6.70,C,FEYE190614P21,0,0,--,<empty>,-1.000,.00,.00,.00,.00,0, ,6.575,0,265,199,100.00%,0.00%,<empty>,-12.66%,<empty>,,

21 JUN 19  (7)  100
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,FEYE190621C9,0,6,198.28%,7.33,.960,.020,.002,-.023,.002,7.45,P,5.500,7.45,202,489,92.80%,7.20%,13.56%,25.33%,25.33%,5.30,X,5.70,X,21 JUN 19,9,0,D,.05,H,FEYE190621P9,0,24,161.94%,1.28,-.018,.013,.001,-.011,.00,.11,P,.025,.11,0,198,3.22%,96.78%,6.17%,7.92%,<empty>,,
