Stock quote and option quote for GM on 6/14/19 21:48:00

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
35.66,N,-.36,35.53,P,35.76,P,4 x 7,"4,953,403",35.88,35.99,35.54

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
4.26%,5.669,.38,Q,6/6/19,45.00,30.56,"1,418,392,900",1.18

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,GM190614C27.5,0,0,325.71%,20.08,.921,.009,.002,-.407,.00,0, ,8.250,0,96,120,92.49%,7.51%,14.47%,92.18%,92.18%,8.10,B,8.40,B,14 JUN 19,27.5,0,D,.02,W,GM190614P27.5,0,0,209.37%,7.49,-.008,.005,.00,-.084,.00,0, ,.010,0,0,241,1.03%,98.97%,2.02%,10.24%,<empty>,,
,,GM190614C28.5,0,0,282.37%,18.09,.923,.012,.002,-.361,.00,0, ,7.250,0,212,267,92.54%,7.46%,14.44%,92.18%,92.18%,7.10,X,7.40,M,14 JUN 19,28.5,0,D,.02,W,GM190614P28.5,0,5,183.34%,6.79,-.009,.007,.00,-.079,.00,.05,Q,.010,.05,0,231,1.11%,98.89%,2.18%,10.24%,<empty>,,
,,GM190614C29,0,0,227.57%,15.54,.934,.004,.002,-.243,.00,0, ,6.675,0,21,25,95.31%,4.69%,9.15%,15.36%,15.36%,6.60,X,6.75,X,14 JUN 19,29,0,D,.02,W,GM190614P29,0,10,170.64%,6.43,-.009,.008,.00,-.076,.00,.09,P,.010,.09,0,232,1.16%,98.84%,2.28%,10.24%,<empty>,,
,,GM190614C29.5,0,0,207.68%,14.42,.936,.004,.002,-.221,.00,0, ,6.175,0,25,33,95.45%,4.55%,8.90%,15.36%,15.36%,6.10,M,6.25,Q,14 JUN 19,29.5,0,Q,.02,Q,GM190614P29.5,0,15,158.06%,6.06,-.010,.009,.00,-.074,.00,.03,C,.010,.03,0,1,1.22%,98.78%,2.40%,10.24%,<empty>,,
,,GM190614C30,0,0,200.67%,13.89,.933,.012,.002,-.234,.00,0, ,5.700,0,290,375,94.44%,5.56%,10.88%,40.97%,40.97%,5.60,X,5.80,M,14 JUN 19,30,0,D,.03,X,GM190614P30,0,8,153.91%,6.11,-.014,.013,.001,-.090,.00,.01,Z,.015,.01,0,348,1.76%,98.24%,3.48%,15.36%,<empty>,,
,,GM190614C30.5,0,0,182.13%,12.78,.934,.014,.002,-.215,.00,0, ,5.200,0,21,23,94.43%,5.57%,10.92%,40.97%,40.97%,5.10,X,5.30,M,14 JUN 19,30.5,0,D,.02,H,GM190614P30.5,0,55,133.38%,5.30,-.011,.012,.001,-.069,.00,.02,Q,.010,.02,0,147,1.38%,98.62%,2.72%,10.24%,<empty>,,
,,GM190614C31,0,0,151.99%,11.02,.940,.008,.002,-.162,.00,2.52,C,4.675,2.52,144,45,95.73%,4.27%,8.40%,15.36%,15.36%,4.60,H,4.75,B,14 JUN 19,31,0,P,.01,P,GM190614P31,0,427,110.75%,4.34,-.007,.010,.00,-.044,.00,.01,W,.005,.01,0,130,0.85%,99.15%,1.68%,5.12%,<empty>,,
,,GM190614C32,0,0,--,<empty>,1.000,.00,.00,.00,.00,3.35,N,3.625,3.35,116,36,100.00%,0.00%,<empty>,-35.85%,0.00%,3.55,B,3.70,B,14 JUN 19,32,0,N,.01,N,GM190614P32,0,304,88.21%,3.58,-.009,.015,.00,-.040,.00,.01,P,.005,.01,0,1,1.01%,98.99%,2.01%,5.12%,<empty>,,
,,GM190614C32.5,0,5,--,<empty>,1.000,.00,.00,.00,.00,2.32,E,3.125,2.32,157,42,100.00%,0.00%,<empty>,-35.85%,0.00%,3.05,H,3.20,Z,14 JUN 19,32.5,0,Q,.01,Q,GM190614P32.5,0,131,77.00%,3.18,-.010,.019,.001,-.037,.00,.02,C,.005,.02,0,20,1.13%,98.87%,2.24%,5.12%,<empty>,,
,,GM190614C33,2,8,80.29%,6.13,.947,.012,.002,-.080,.00,2.74,N,2.665,2.74,11,10,96.58%,3.42%,6.77%,5.12%,5.12%,2.65,H,2.68,Q,14 JUN 19,33,0,C,.01,Q,GM190614P33,0,361,65.80%,2.78,-.012,.025,.001,-.035,.00,.01,Q,.005,.01,0,97,1.28%,98.72%,2.54%,5.12%,<empty>,,
