Stock quote and option quote for MCD on 6/14/19 21:48:21

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
205.29,N,+.80,205.12,P,205.58,P,3 x 4,"2,715,937",204.00,205.805,203.78

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.26%,27.23,1.16,Q,5/31/19,206.39,153.13,"763,556,380",0.54

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,MCD190614C160,0,0,282.21%,105.79,.929,.001,.012,-1.792,2.807,0, ,45.425,0,8,10,94.67%,5.33%,10.34%,24.02%,24.02%,43.05,Q,47.80,J,14 JUN 19,160,0,D,.26,H,MCD190614P160,0,1,224.64%,47.73,-.015,.002,.004,-.752,.00,.02,E,.130,.02,0,55,1.96%,98.04%,3.84%,23.13%,<empty>,,
,,MCD190614C165,0,0,243.08%,94.59,.933,.001,.012,-1.523,2.449,0, ,40.400,0,2,2,95.09%,4.91%,9.56%,19.57%,19.57%,38.80,E,42.00,E,14 JUN 19,165,0,D,.26,M,MCD190614P165,0,1,200.39%,44.05,-.016,.002,.004,-.717,.00,.23,X,.130,.23,0,43,2.11%,97.89%,4.14%,23.13%,<empty>,,
,,MCD190614C167.5,0,0,265.71%,99.44,.919,.003,.015,-2.076,1.489,0, ,38.425,0,8,8,91.83%,8.17%,15.85%,112.98%,112.98%,37.25,N,39.60,N,14 JUN 19,167.5,0,D,.04,M,MCD190614P167.5,0,5,148.62%,30.68,-.004,.001,.001,-.236,.00,.01,M,.020,.01,0,43,0.50%,99.50%,0.98%,3.56%,<empty>,,
,,MCD190614C170,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,35.200,0,2,2,100.00%,0.00%,<empty>,-16.01%,0.00%,33.40,E,37.00,E,14 JUN 19,170,0,D,.04,M,MCD190614P170,0,30,138.78%,29.06,-.004,.001,.001,-.229,.00,.05,W,.020,.05,0,41,0.52%,99.48%,1.03%,3.56%,<empty>,,
,,MCD190614C172.5,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,32.600,0,21,8,100.00%,0.00%,<empty>,-33.80%,0.00%,30.85,I,34.35,N,14 JUN 19,172.5,0,C,.16,M,MCD190614P172.5,0,11,153.21%,34.60,-.014,.002,.004,-.496,.00,.04,A,.080,.04,0,35,1.66%,98.34%,3.27%,14.23%,<empty>,,
,,MCD190614C175,3,0,--,<empty>,1.000,.00,.00,.00,.00,29.67,I,30.200,29.67,21,21,100.00%,0.00%,<empty>,-16.01%,0.00%,29.85,B,30.55,M,14 JUN 19,175,0,D,.16,M,MCD190614P175,0,21,142.15%,32.59,-.014,.002,.004,-.480,.00,.08,C,.080,.08,0,49,1.75%,98.25%,3.45%,14.23%,<empty>,,
,,MCD190614C177.5,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,27.700,0,27,21,100.00%,0.00%,<empty>,-16.01%,0.00%,27.35,X,28.05,M,14 JUN 19,177.5,0,D,.16,M,MCD190614P177.5,0,11,131.15%,30.53,-.016,.003,.004,-.464,.00,.01,N,.080,.01,0,96,1.85%,98.15%,3.66%,14.23%,<empty>,,
,,MCD190614C180,0,18,--,<empty>,1.000,.00,.00,.00,.00,25.15,P,25.200,25.15,21,21,100.00%,0.00%,<empty>,-16.01%,0.00%,24.85,B,25.55,M,14 JUN 19,180,0,C,.16,M,MCD190614P180,0,30,120.13%,28.38,-.017,.003,.005,-.445,.00,.01,C,.080,.01,0,31,1.97%,98.03%,3.90%,14.23%,<empty>,,
,,MCD190614C182.5,0,0,--,<empty>,1.000,.00,.00,.00,.00,16.40,B,22.575,16.40,21,21,100.00%,0.00%,<empty>,-38.25%,0.00%,22.10,B,23.05,M,14 JUN 19,182.5,0,D,.03,W,MCD190614P182.5,0,36,88.30%,19.58,-.005,.002,.002,-.165,.00,.01,Q,.015,.01,0,26,0.58%,99.42%,1.15%,2.67%,<empty>,,
,,MCD190614C185,0,37,108.29%,47.27,.944,.001,.011,-.634,1.068,18.95,M,20.325,18.95,2,7,96.47%,3.53%,6.98%,6.23%,6.23%,20.25,N,20.40,P,14 JUN 19,185,0,D,.03,M,MCD190614P185,0,46,78.84%,17.71,-.005,.002,.002,-.154,.00,.01,B,.015,.01,0,21,0.62%,99.38%,1.23%,2.67%,<empty>,,
