Stock quote and option quote for PFE on 6/14/19 21:45:37

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
42.76,N,+.26,42.58,P,42.85,P,1 x 4,"12,521,887",42.52,42.87,42.48

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
3.37%,21.82,.36,Q,5/9/19,46.47,35.73,"5,559,929,200",0.74

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,PFE190614C34,0,0,262.94%,20.81,.930,.005,.003,-.355,.00,0, ,8.800,0,96,96,94.49%,5.51%,10.72%,34.17%,34.17%,8.55,B,9.05,B,14 JUN 19,34,0,C,.02,A,PFE190614P34,0,0,182.81%,8.00,-.007,.005,.00,-.085,.00,0, ,.010,0,0,72,0.94%,99.06%,1.86%,8.54%,<empty>,,
,,PFE190614C34.5,0,0,235.45%,19.20,.934,.002,.002,-.301,.00,0, ,8.275,0,96,96,95.36%,4.64%,9.06%,12.81%,12.81%,8.05,B,8.50,B,14 JUN 19,34.5,0,C,.02,A,PFE190614P34.5,0,0,172.95%,7.69,-.008,.006,.00,-.085,.00,0, ,.010,0,0,61,1.00%,99.00%,1.97%,8.54%,<empty>,,
,,PFE190614C35,0,0,218.58%,18.09,.935,.003,.002,-.278,.00,0, ,7.775,0,96,96,95.48%,4.52%,8.83%,12.81%,12.81%,7.55,B,8.00,B,14 JUN 19,35,0,C,.02,A,PFE190614P35,0,2,162.04%,7.30,-.008,.006,.00,-.081,.00,.02,B,.010,.02,0,73,1.02%,98.98%,2.01%,8.54%,<empty>,,
,,PFE190614C35.5,0,0,222.19%,18.11,.930,.010,.003,-.323,.00,0, ,7.325,0,21,96,93.85%,6.15%,12.01%,55.52%,55.52%,7.20,X,7.45,B,14 JUN 19,35.5,0,C,.02,P,PFE190614P35.5,0,3,151.84%,6.94,-.009,.007,.001,-.079,.00,.09,M,.010,.09,0,41,1.07%,98.93%,2.11%,8.54%,<empty>,,
,,PFE190614C36,0,0,206.17%,17.01,.931,.012,.003,-.302,.00,0, ,6.825,0,72,96,93.83%,6.17%,12.06%,55.52%,55.52%,6.65,X,7.00,B,14 JUN 19,36,0,C,.02,H,PFE190614P36,0,463,141.75%,6.57,-.009,.008,.001,-.077,.00,.02,C,.010,.02,0,79,1.12%,98.88%,2.22%,8.54%,<empty>,,
,,PFE190614C36.5,0,0,190.64%,15.90,.931,.014,.003,-.283,.00,0, ,6.325,0,21,96,93.78%,6.22%,12.18%,55.52%,55.52%,6.20,X,6.45,B,14 JUN 19,36.5,0,C,.02,P,PFE190614P36.5,0,0,131.76%,6.19,-.010,.009,.001,-.075,.00,0, ,.010,0,0,41,1.19%,98.81%,2.35%,8.54%,<empty>,,
,,PFE190614C37,0,0,155.66%,13.56,.940,.005,.002,-.197,.00,0, ,5.775,0,21,34,95.87%,4.13%,8.14%,12.81%,12.81%,5.70,X,5.85,Q,14 JUN 19,37,0,C,.02,H,PFE190614P37,0,0,121.86%,5.81,-.011,.010,.001,-.072,.00,0, ,.010,0,0,138,1.27%,98.73%,2.50%,8.54%,<empty>,,
,,PFE190614C37.5,0,0,151.31%,13.07,.936,.015,.003,-.213,.00,0, ,5.300,0,21,21,94.72%,5.28%,10.40%,34.17%,34.17%,5.20,X,5.40,X,14 JUN 19,37.5,0,C,.02,N,PFE190614P37.5,0,0,111.37%,5.38,-.011,.012,.001,-.068,.00,0, ,.010,0,0,39,1.31%,98.69%,2.60%,8.54%,<empty>,,
,,PFE190614C38,0,1,137.02%,11.93,.936,.018,.003,-.196,.00,2.99,C,4.800,2.99,10,14,94.63%,5.37%,10.58%,34.17%,34.17%,4.70,Z,4.90,Z,14 JUN 19,38,0,C,.02,H,PFE190614P38,0,41,102.08%,5.01,-.013,.014,.001,-.067,.00,.06,C,.010,.06,0,74,1.45%,98.55%,2.88%,8.54%,<empty>,,
,,PFE190614C38.5,0,0,112.62%,10.10,.943,.010,.002,-.143,.00,0, ,4.275,0,10,9,96.00%,4.00%,7.90%,12.81%,12.81%,4.20,Z,4.35,Z,14 JUN 19,38.5,0,C,.02,A,PFE190614P38.5,0,12,91.34%,4.54,-.013,.017,.001,-.062,.00,.01,Q,.010,.01,0,72,1.50%,98.50%,2.97%,8.54%,<empty>,,
