Stock quote and option quote for QCOM on 6/14/19 21:45:09

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
68.72,Q,-1.21,68.50,P,68.88,P,1 x 1,"12,119,481",68.35,69.12,67.90

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
3.61%,35.79,.62,Q,6/5/19,90.34,49.10,"1,215,698,930",0.87

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,QCOM190614C50,0,0,360.70%,41.87,.924,.00,.004,-.746,.00,0, ,18.730,0,161,306,94.41%,5.59%,10.76%,5.35%,5.35%,18.55,M,19.10,X,14 JUN 19,50,0,Q,.02,Q,QCOM190614P50,0,1,213.89%,13.14,-.002,.001,.00,-.072,.00,.05,C,.00434,.05,0,50,0.27%,99.73%,0.53%,2.31%,<empty>,,
,,QCOM190614C55,6,6,241.68%,31.53,.934,.001,.004,-.487,.00,13.75,M,13.731,13.75,30,309,95.52%,4.48%,8.73%,5.88%,5.88%,13.45,B,13.95,X,14 JUN 19,55,0,X,.01,Z,QCOM190614P55,0,58,155.76%,10.48,-.003,.002,.00,-.067,.00,.02,X,.00478,.02,0,4,0.36%,99.64%,0.70%,2.54%,<empty>,,
,,QCOM190614C55.5,0,0,230.96%,30.43,.934,.001,.004,-.464,.00,0, ,13.231,0,30,30,95.61%,4.39%,8.57%,5.94%,5.94%,12.65,B,14.00,B,14 JUN 19,55.5,0,Q,.02,Q,QCOM190614P55.5,0,0,150.11%,10.19,-.003,.002,.00,-.067,.00,0, ,.00482,0,0,40,0.37%,99.63%,0.73%,2.56%,<empty>,,
,,QCOM190614C56,0,12,220.43%,29.32,.935,.001,.004,-.442,.00,10.90,P,12.731,10.90,42,390,95.70%,4.30%,8.41%,5.99%,5.99%,12.45,I,13.00,M,14 JUN 19,56,0,C,.03,H,QCOM190614P56,0,0,144.49%,9.90,-.003,.002,.00,-.066,.00,.01,A,.00486,.01,0,117,0.38%,99.62%,0.75%,2.58%,<empty>,,
,,QCOM190614C56.5,0,0,210.10%,28.20,.936,.001,.004,-.420,.00,0, ,12.231,0,30,45,95.78%,4.22%,8.26%,6.04%,6.04%,11.70,B,13.50,B,14 JUN 19,56.5,0,C,.03,X,QCOM190614P56.5,0,0,138.92%,9.60,-.003,.002,.00,-.065,.00,0, ,.00491,0,0,112,0.39%,99.61%,0.78%,2.61%,<empty>,,
,,QCOM190614C57,0,0,199.96%,27.07,.937,.001,.004,-.398,.00,0, ,11.731,0,31,30,95.86%,4.14%,8.11%,6.10%,6.10%,11.25,M,12.60,B,14 JUN 19,57,0,C,.03,X,QCOM190614P57,0,3,133.35%,9.29,-.003,.002,.00,-.064,.00,.03,X,.00495,.03,0,95,0.41%,99.59%,0.81%,2.63%,<empty>,,
,,QCOM190614C57.5,0,0,190.03%,25.94,.938,.001,.004,-.378,.00,0, ,11.232,0,30,211,95.93%,4.07%,7.98%,6.15%,6.15%,10.95,B,11.65,X,14 JUN 19,57.5,0,D,.03,M,QCOM190614P57.5,0,0,127.79%,8.98,-.003,.002,.00,-.063,.00,0, ,.00499,0,0,138,0.42%,99.58%,0.84%,2.65%,<empty>,,
,,QCOM190614C58,0,0,180.16%,24.80,.939,.001,.004,-.357,.00,0, ,10.732,0,223,317,96.01%,3.99%,7.84%,6.21%,6.21%,10.55,M,11.05,M,14 JUN 19,58,0,C,.03,X,QCOM190614P58,0,101,122.29%,8.67,-.004,.002,.00,-.063,.00,.07,H,.00504,.07,0,176,0.44%,99.56%,0.88%,2.68%,<empty>,,
,,QCOM190614C58.5,0,0,170.53%,23.66,.939,.001,.004,-.337,.00,0, ,10.232,0,8,31,96.08%,3.92%,7.71%,6.26%,6.26%,9.80,A,10.40,I,14 JUN 19,58.5,0,C,.03,H,QCOM190614P58.5,0,4,116.78%,8.35,-.004,.003,.00,-.062,.00,.06,H,.00508,.06,0,112,0.46%,99.54%,0.91%,2.70%,<empty>,,
,,QCOM190614C59,0,0,161.06%,22.51,.940,.002,.004,-.317,.00,9.12,C,9.732,9.12,138,204,96.14%,3.86%,7.59%,6.31%,6.31%,9.55,M,9.95,X,14 JUN 19,59,0,C,.03,X,QCOM190614P59,0,37,111.29%,8.03,-.004,.003,.00,-.061,.00,.05,X,.00512,.05,0,100,0.48%,99.52%,0.95%,2.72%,<empty>,,
,,QCOM190614C59.5,0,0,151.75%,21.36,.941,.002,.004,-.298,.00,0, ,9.232,0,6,45,96.20%,3.80%,7.49%,6.37%,6.37%,8.85,A,9.65,B,14 JUN 19,59.5,0,D,.03,H,QCOM190614P59.5,0,1,105.83%,7.71,-.004,.003,.00,-.060,.00,.08,Q,.00517,.08,0,135,0.50%,99.50%,1.00%,2.75%,<empty>,,
,,QCOM190614C60,0,5,142.61%,20.21,.942,.002,.004,-.280,.00,7.92,X,8.732,7.92,43,6,96.25%,3.75%,7.39%,6.42%,6.42%,8.50,I,9.20,A,14 JUN 19,60,0,J,.01,B,QCOM190614P60,1,989,100.37%,7.37,-.005,.004,.00,-.058,.00,.01,I,.00521,.01,0,13,0.53%,99.47%,1.05%,2.77%,<empty>,,
,,QCOM190614C60.5,0,0,133.63%,19.06,.943,.003,.004,-.262,.00,0, ,8.232,0,31,4,96.30%,3.70%,7.30%,6.47%,6.47%,7.85,I,8.40,A,14 JUN 19,60.5,0,C,.03,M,QCOM190614P60.5,0,1,94.92%,7.04,-.005,.004,.001,-.057,.00,.30,C,.00525,.30,0,130,0.56%,99.44%,1.10%,2.79%,<empty>,,
,,QCOM190614C61,0,0,124.81%,17.91,.943,.003,.004,-.244,.00,6.30,N,7.732,6.30,21,31,96.34%,3.66%,7.23%,6.53%,6.53%,7.55,I,8.20,I,14 JUN 19,61,0,D,.03,X,QCOM190614P61,0,125,89.50%,6.70,-.005,.005,.001,-.056,.00,.05,Z,.0053,.05,0,137,0.59%,99.41%,1.16%,2.82%,<empty>,,
,,QCOM190614C61.5,0,0,116.05%,16.75,.944,.003,.004,-.226,.00,0, ,7.232,0,50,7,96.38%,3.62%,7.14%,6.58%,6.58%,6.95,M,7.60,A,14 JUN 19,61.5,0,C,.03,M,QCOM190614P61.5,0,23,84.06%,6.35,-.005,.005,.001,-.055,.00,.06,M,.00534,.06,0,37,0.62%,99.38%,1.23%,2.84%,<empty>,,
,,QCOM190614C62,32,57,107.48%,15.60,.945,.004,.004,-.210,.00,6.51,C,6.732,6.51,633,510,96.41%,3.59%,7.09%,6.63%,6.63%,6.55,X,6.90,X,14 JUN 19,62,0,P,.01,P,QCOM190614P62,0,59,78.63%,6.00,-.006,.006,.001,-.053,.00,.02,N,.00538,.02,0,2,0.66%,99.34%,1.31%,2.86%,<empty>,,
,,QCOM190614C62.5,0,34,99.06%,14.45,.945,.005,.004,-.193,.00,5.05,W,6.233,5.05,8,129,96.44%,3.56%,7.05%,6.69%,6.69%,6.10,N,6.40,X,14 JUN 19,62.5,0,C,.03,M,QCOM190614P62.5,0,39,73.22%,5.64,-.006,.007,.001,-.052,.00,.10,I,.00543,.10,0,37,0.70%,99.30%,1.39%,2.89%,<empty>,,
,,QCOM190614C63,79,111,90.74%,13.30,.946,.006,.004,-.177,.00,5.65,I,5.733,5.65,143,482,96.45%,3.55%,7.03%,6.74%,6.74%,5.60,W,5.90,X,14 JUN 19,63,0,C,.03,H,QCOM190614P63,0,759,67.79%,5.27,-.007,.008,.001,-.050,.00,.03,M,.00547,.03,0,56,0.75%,99.25%,1.49%,2.91%,<empty>,,
,,QCOM190614C63.5,0,16,82.58%,12.15,.947,.007,.004,-.161,.00,4.40,A,5.233,4.40,330,164,96.45%,3.55%,7.03%,6.79%,6.79%,5.05,X,5.40,X,14 JUN 19,63.5,0,D,.03,H,QCOM190614P63.5,0,229,62.35%,4.90,-.007,.009,.001,-.049,.00,.01,Z,.00551,.01,0,27,0.81%,99.19%,1.61%,2.93%,<empty>,,
,,QCOM190614C64,0,97,74.59%,11.02,.947,.009,.004,-.146,.00,5.99,A,4.733,5.99,37,73,96.43%,3.57%,7.09%,6.85%,6.85%,4.60,X,4.90,X,14 JUN 19,64,0,N,.01,N,QCOM190614P64,0,199,56.90%,4.52,-.008,.011,.001,-.047,.00,.03,C,.00556,.03,0,1,0.88%,99.12%,1.75%,2.96%,<empty>,,
,,QCOM190614C64.5,2,18,66.67%,9.87,.947,.011,.004,-.132,.00,4.15,Z,4.233,4.15,11,40,96.39%,3.61%,7.16%,6.90%,6.90%,4.15,H,4.35,M,14 JUN 19,64.5,0,N,.01,N,QCOM190614P64.5,0,119,51.43%,4.14,-.009,.013,.001,-.045,.00,.02,Q,.0056,.02,0,30,0.96%,99.04%,1.92%,2.98%,<empty>,,
,,QCOM190614C65,55,373,58.94%,8.74,.948,.015,.004,-.118,.00,3.90,P,3.733,3.90,40,673,96.31%,3.69%,7.33%,6.95%,6.95%,3.65,M,3.85,X,14 JUN 19,65,0,P,.01,Q,QCOM190614P65,0,"1,021",45.93%,3.74,-.010,.016,.001,-.043,.00,.01,C,.00564,.01,0,20,1.07%,98.93%,2.12%,3.00%,<empty>,,
,,QCOM190614C65.5,7,100,51.25%,7.61,.948,.020,.004,-.104,.00,3.15,W,3.233,3.15,21,582,96.20%,3.80%,7.55%,7.01%,7.01%,3.15,M,3.40,M,14 JUN 19,65.5,0,C,.03,X,QCOM190614P65.5,0,250,40.40%,3.34,-.011,.020,.001,-.041,.00,.07,A,.00569,.07,0,115,1.20%,98.80%,2.38%,3.02%,<empty>,,
,,QCOM190614C66,162,392,43.45%,6.45,.948,.026,.004,-.089,.00,2.98,N,2.733,2.98,8,600,96.11%,3.89%,7.74%,7.06%,7.06%,2.66,Q,2.85,M,14 JUN 19,66,0,Q,.01,Q,QCOM190614P66,1,"1,034",34.80%,2.93,-.013,.027,.001,-.038,.00,.02,C,.00573,.02,0,1,1.37%,98.63%,2.72%,3.05%,<empty>,,
,,QCOM190614C66.5,61,395,36.10%,5.34,.946,.040,.004,-.076,.001,2.48,A,2.233,2.48,11,562,95.79%,4.21%,8.37%,7.11%,7.11%,2.17,H,2.35,M,14 JUN 19,66.5,0,D,.03,X,QCOM190614P66.5,2,351,29.14%,2.50,-.015,.037,.001,-.035,.00,.01,Z,.00578,.01,0,165,1.60%,98.40%,3.19%,3.07%,<empty>,,
,,QCOM190614C67,310,640,28.70%,4.21,.944,.063,.004,-.063,.001,1.91,N,1.733,1.91,5,509,95.33%,4.67%,9.29%,7.17%,7.17%,1.67,N,1.86,M,14 JUN 19,67,0,N,.02,N,QCOM190614P67,229,764,23.36%,2.05,-.019,.055,.002,-.032,.00,.01,C,.00582,.01,0,1,1.95%,98.05%,3.89%,3.09%,<empty>,,
,,QCOM190614C67.5,105,212,21.33%,3.08,.939,.112,.004,-.051,.001,1.43,Z,1.234,1.43,3,486,94.47%,5.53%,11.01%,7.22%,7.22%,1.16,N,1.35,M,14 JUN 19,67.5,0,N,.02,N,QCOM190614P67.5,179,256,17.43%,1.58,-.025,.092,.002,-.028,.00,.01,I,.00586,.01,0,9,2.53%,97.47%,5.04%,3.11%,<empty>,,
,,QCOM190614C68,335,673,13.98%,1.95,.922,.256,.005,-.039,.001,.97,C,.734,.97,11,487,92.39%,7.61%,15.17%,7.44%,7.44%,.67,H,.84,M,14 JUN 19,68,0,D,.01,H,QCOM190614P68,714,"1,215",11.22%,1.08,-.037,.199,.003,-.022,.00,.01,Q,.00591,.01,0,11,3.72%,96.28%,7.40%,3.14%,<empty>,,
,,QCOM190614C68.5,598,403,6.42%,.79399968,.830,1.112,.009,-.026,.001,.41,W,.239,.41,93,451,82.70%,17.30%,34.37%,10.10%,10.10%,.09,M,.35,M,14 JUN 19,68.5,0,D,.03,H,QCOM190614P68.5,580,394,8.21%,.95801572,-.230,1.028,.011,-.041,.00,.01,Z,.0395,.01,0,36,23.10%,76.90%,45.92%,20.99%,<empty>,,
,,QCOM190614C69,"1,729","2,077",6.30%,.55118651,.107,.813,.007,-.021,.00,.01,C,.0113,.01,0,30,10.62%,89.38%,21.38%,6.01%,154.82%,0,Q,.02,Q,14 JUN 19,69,.14,M,.38,P,QCOM190614P69,611,788,9.61%,1.39,-.792,.829,.010,-.047,-.001,.14,X,.323,.14,207,12,79.34%,20.66%,41.54%,22.85%,<empty>,,
,,QCOM190614C69.5,69,300,11.73%,.98437761,.033,.173,.003,-.021,.00,.01,X,.00539,.01,0,57,3.23%,96.77%,6.47%,2.86%,417.43%,0,D,.03,E,14 JUN 19,69.5,.76,H,.87,X,QCOM190614P69.5,661,859,12.20%,1.99,-.962,.190,.003,-.027,-.002,.53,A,.789,.53,11,31,96.22%,3.78%,7.59%,4.78%,<empty>,,
,,QCOM190614C70,794,"3,361",17.62%,1.48,.023,.085,.002,-.026,.00,.01,C,.00534,.01,0,5,2.22%,97.78%,4.45%,2.84%,683.15%,0,D,.01,N,14 JUN 19,70,1.26,H,1.38,X,QCOM190614P70,549,"1,023",0.00%,1.28,-1.000,.00,.00,.00,.00,1.35,P,1.280,1.35,11,85,100.00%,0.00%,0.00%,0.07%,<empty>,,
