Stock quote and option quote for SPY on 6/14/19 21:47:21

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
289.26,P,-.32,289.31,P,289.42,P,2 x 1,"52,324,716",289.26,289.93,288.41

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
1.71%,67.58,1.233,Q,3/15/19,294.95,233.76,"947,430,000",1.0

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,SPY190614C200,0,9,305.32%,167.82,.992,.00,.003,-1.022,.004,89.26,C,89.445,89.26,50,50,98.72%,1.28%,2.50%,17.04%,17.04%,89.13,M,89.76,M,14 JUN 19,200,0,B,.01,Q,SPY190614P200,1,310,220.08%,51.33,-.001,.00,.00,-.152,.00,.01,A,.005,.01,0,"3,900",0.08%,99.92%,0.16%,0.63%,<empty>,,
,,SPY190614C205,0,3,287.00%,160.42,.991,.001,.004,-.999,.004,77.60,I,84.445,77.60,50,50,98.68%,1.32%,2.58%,17.04%,17.04%,84.13,M,84.76,M,14 JUN 19,205,0,B,.01,Q,SPY190614P205,0,"1,910",206.26%,49.19,-.001,.00,.00,-.149,.00,.01,E,.005,.01,0,"3,900",0.09%,99.91%,0.17%,0.63%,<empty>,,
,,SPY190614C210,0,0,268.89%,152.73,.991,.001,.004,-.972,.005,0, ,79.445,0,50,50,98.63%,1.37%,2.67%,17.04%,17.04%,79.13,M,79.76,M,14 JUN 19,210,0,B,.01,Q,SPY190614P210,0,10,192.74%,46.96,-.001,.00,.00,-.145,.00,.01,M,.005,.01,0,"3,900",0.09%,99.91%,0.17%,0.63%,<empty>,,
,,SPY190614C215,0,0,251.20%,144.84,.990,.001,.004,-.946,.005,0, ,74.445,0,50,50,98.58%,1.42%,2.77%,17.04%,17.04%,74.13,M,74.76,M,14 JUN 19,215,0,B,.01,Q,SPY190614P215,0,44,179.50%,44.65,-.001,.00,.00,-.141,.00,.01,M,.005,.01,0,"3,900",0.09%,99.91%,0.18%,0.63%,<empty>,,
,,SPY190614C220,0,2,233.93%,136.76,.989,.001,.004,-.920,.006,62.65,I,69.445,62.65,50,50,98.52%,1.48%,2.89%,17.04%,17.04%,69.13,M,69.76,M,14 JUN 19,220,0,B,.01,Q,SPY190614P220,0,95,166.50%,42.25,-.001,.00,.00,-.137,.00,.01,I,.005,.01,0,"3,900",0.10%,99.90%,0.19%,0.63%,<empty>,,
,,SPY190614C225,0,19,216.75%,128.40,.988,.001,.005,-.889,.006,64.17,I,64.445,64.17,50,50,98.46%,1.54%,3.02%,17.04%,17.04%,64.13,M,64.76,M,14 JUN 19,225,0,B,.01,Q,SPY190614P225,0,"20,222",153.76%,39.79,-.001,.00,.00,-.133,.00,.01,W,.005,.01,0,"3,900",0.10%,99.90%,0.20%,0.63%,<empty>,,
,,SPY190614C230,0,18,199.98%,119.89,.988,.001,.005,-.860,.006,53.06,E,59.445,53.06,50,50,98.38%,1.62%,3.17%,17.04%,17.04%,59.13,M,59.76,M,14 JUN 19,230,0,B,.01,Q,SPY190614P230,0,"14,040",141.23%,37.24,-.001,.00,.00,-.128,.00,.01,W,.005,.01,0,"3,900",0.11%,99.89%,0.21%,0.63%,<empty>,,
,,SPY190614C235,0,1,185.29%,111.93,.986,.001,.005,-.864,.006,53.78,E,54.455,53.78,50,50,98.20%,1.80%,3.55%,18.31%,18.31%,54.14,M,54.77,M,14 JUN 19,235,0,B,.01,Q,SPY190614P235,0,"4,237",128.91%,34.63,-.001,.00,.00,-.124,.00,.05,E,.005,.05,0,"3,900",0.11%,99.89%,0.23%,0.63%,<empty>,,
,,SPY190614C240,0,0,168.79%,102.99,.985,.002,.006,-.829,.006,0, ,49.455,0,50,50,98.09%,1.91%,3.77%,18.31%,18.31%,49.14,M,49.77,M,14 JUN 19,240,0,B,.01,Q,SPY190614P240,0,"24,174",116.79%,31.95,-.001,.00,.001,-.119,.00,.01,X,.005,.01,0,"3,900",0.12%,99.88%,0.24%,0.63%,<empty>,,
,,SPY190614C245,8,10,138.99%,88.16,.990,.001,.004,-.539,.007,43.88,I,44.385,43.88,8,8,98.78%,1.22%,2.42%,9.47%,9.47%,44.16,N,44.61,N,14 JUN 19,245,0,B,.01,Q,SPY190614P245,0,"28,812",104.83%,29.20,-.001,.00,.001,-.113,.00,.01,W,.005,.01,0,"3,900",0.13%,99.87%,0.26%,0.63%,<empty>,,
,,SPY190614C247.5,0,0,144.38%,89.26,.982,.002,.007,-.772,.007,0, ,41.955,0,50,50,97.87%,2.13%,4.19%,18.31%,18.31%,41.64,M,42.27,M,14 JUN 19,247.5,0,B,.01,Q,SPY190614P247.5,0,"10,800",98.92%,27.80,-.001,.00,.001,-.111,.00,.01,Z,.005,.01,0,"3,900",0.14%,99.86%,0.28%,0.63%,<empty>,,
,,SPY190614C250,115,146,137.75%,85.22,.980,.002,.007,-.782,.007,39.86,C,39.465,39.86,10,50,97.67%,2.33%,4.59%,19.57%,19.57%,39.16,N,39.77,M,14 JUN 19,250,0,B,.01,Q,SPY190614P250,0,"19,158",93.04%,26.38,-.001,.00,.001,-.108,.00,.01,I,.005,.01,0,"3,908",0.15%,99.85%,0.29%,0.63%,<empty>,,
,,SPY190614C251,0,0,133.13%,82.74,.981,.002,.007,-.744,.007,0, ,38.455,0,50,50,97.75%,2.25%,4.44%,18.31%,18.31%,38.14,M,38.77,M,14 JUN 19,251,0,B,.01,Q,SPY190614P251,0,8,90.70%,25.81,-.001,.00,.001,-.107,.00,.02,N,.005,.02,0,"3,900",0.15%,99.85%,0.30%,0.63%,<empty>,,
,,SPY190614C252,0,0,129.92%,80.85,.981,.002,.007,-.736,.007,0, ,37.455,0,50,50,97.71%,2.29%,4.52%,18.31%,18.31%,37.14,M,37.77,M,14 JUN 19,252,0,B,.01,Q,SPY190614P252,0,51,88.36%,25.24,-.001,.00,.001,-.105,.00,.18,E,.005,.18,0,"3,900",0.15%,99.85%,0.30%,0.63%,<empty>,,
,,SPY190614C252.5,0,0,128.32%,79.91,.980,.002,.007,-.732,.007,0, ,36.955,0,50,50,97.69%,2.31%,4.56%,18.31%,18.31%,36.64,M,37.27,M,14 JUN 19,252.5,0,B,.01,Q,SPY190614P252.5,0,73,87.19%,24.95,-.001,.00,.001,-.105,.00,.01,Q,.005,.01,0,"3,900",0.15%,99.85%,0.31%,0.63%,<empty>,,
,,SPY190614C253,0,0,126.72%,78.97,.980,.003,.007,-.728,.007,0, ,36.455,0,50,50,97.67%,2.33%,4.61%,18.31%,18.31%,36.14,M,36.77,M,14 JUN 19,253,0,B,.01,Q,SPY190614P253,0,8,86.03%,24.66,-.001,.00,.001,-.104,.00,.04,W,.005,.04,0,"3,900",0.16%,99.84%,0.31%,0.63%,<empty>,,
