Stock quote and option quote for TEVA on 6/14/19 21:45:51

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
8.24,N,-.37,8.23,P,8.26,P,5 x 7,"17,205,936",8.61,8.64,8.19

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
4.13%,-2.361,.085,Q,11/27/17,25.96,8.25,"1,092,464,480",2.08

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,TEVA190614C4.5,0,1,814.48%,7.08,.893,.002,.001,-.206,.00,4.65,P,3.750,4.65,33,24,88.61%,11.39%,20.78%,44.33%,44.33%,3.70,B,3.80,X,14 JUN 19,4.5,0,Z,.01,Z,TEVA190614P4.5,0,0,492.92%,2.80,-.007,.009,.00,-.039,.00,0, ,.005,0,0,500,1.33%,98.67%,2.56%,22.16%,<empty>,,
,,TEVA190614C5,0,0,639.56%,6.62,.903,.004,.001,-.166,.00,0, ,3.250,0,33,18,90.75%,9.25%,17.24%,44.33%,44.33%,3.20,B,3.30,Z,14 JUN 19,5,0,Z,.01,Z,TEVA190614P5,0,0,414.21%,2.69,-.008,.012,.00,-.037,.00,0, ,.005,0,0,500,1.40%,98.60%,2.71%,22.16%,<empty>,,
,,TEVA190614C5.5,0,0,--,<empty>,1.000,.00,.00,.00,.00,0, ,2.735,0,33,42,100.00%,0.00%,<empty>,-22.16%,0.00%,2.71,B,2.76,P,14 JUN 19,5.5,0,A,.03,W,TEVA190614P5.5,0,0,403.30%,2.97,-.022,.030,.00,-.066,.00,0, ,.015,0,0,148,3.52%,96.48%,6.76%,66.49%,<empty>,,
,,TEVA190614C6.5,0,4,287.87%,4.26,.926,.038,.001,-.081,.00,3.10,Q,1.755,3.10,34,50,93.31%,6.69%,12.97%,66.49%,66.49%,1.71,P,1.80,W,14 JUN 19,6.5,0,P,.01,P,TEVA190614P6.5,0,1,213.76%,1.86,-.015,.041,.00,-.029,.00,.05,Z,.005,.05,0,1,1.95%,98.05%,3.82%,22.16%,<empty>,,
,,TEVA190614C7,0,10,--,<empty>,1.000,.00,.00,.00,.00,2.55,H,1.230,2.55,34,33,100.00%,0.00%,<empty>,-44.33%,0.00%,1.20,P,1.26,B,14 JUN 19,7,0,I,.03,H,TEVA190614P7,0,294,187.70%,1.85,-.044,.114,.00,-.047,.00,.02,X,.015,.02,0,168,5.36%,94.64%,10.50%,66.49%,<empty>,,
,,TEVA190614C7.5,10,177,--,<empty>,1.000,.00,.00,.00,.00,.73,N,.730,.73,171,289,100.00%,0.00%,<empty>,-44.33%,0.00%,.67,W,.79,M,14 JUN 19,7.5,0,C,.01,C,TEVA190614P7.5,19,343,97.07%,.99172337,-.030,.164,.00,-.020,.00,.01,C,.005,.01,0,20,3.39%,96.61%,6.71%,22.16%,<empty>,,
,,TEVA190614C8,"1,734",744,--,<empty>,1.000,.00,.00,.00,.00,.24,X,.225,.24,187,478,100.00%,0.00%,<empty>,-66.49%,0.00%,.17,H,.28,M,14 JUN 19,8,0,Z,.01,P,TEVA190614P8,621,"1,652",38.17%,.4390263,-.068,.802,.001,-.013,.00,.01,Z,.005,.01,0,25,7.11%,92.89%,14.14%,22.16%,<empty>,,
,,TEVA190614C8.5,356,831,39.49%,.44115582,.067,.766,.001,-.013,.00,.03,D,.005,.03,0,53,6.47%,93.53%,13.02%,22.16%,1174.63%,0,B,.01,N,14 JUN 19,8.5,.25,H,.31,M,TEVA190614P8.5,"1,935","2,941",57.47%,.98486282,-.846,.957,.001,-.029,.00,.27,C,.280,.27,134,219,85.31%,14.69%,29.64%,88.65%,<empty>,,
,,TEVA190614C9,42,"1,231",90.68%,.99128532,.033,.189,.00,-.020,.00,.01,N,.005,.01,0,20,2.98%,97.02%,6.01%,22.16%,3390.90%,0,Z,.01,N,14 JUN 19,9,.75,H,.83,M,TEVA190614P9,576,"1,253",133.64%,2.39,-.890,.326,.001,-.057,.00,.75,A,.790,.75,122,262,90.27%,9.73%,19.79%,132.98%,<empty>,,
,,TEVA190614C9.5,14,"1,859",134.61%,1.46,.024,.096,.00,-.025,.00,.01,A,.005,.01,0,66,1.99%,98.01%,4.03%,22.16%,5607.18%,0,N,.01,N,14 JUN 19,9.5,1.24,M,1.28,P,TEVA190614P9.5,64,"2,396",0.00%,1.26,-1.000,.00,.00,.00,.00,1.25,C,1.260,1.25,467,33,100.00%,0.00%,0.00%,0.00%,<empty>,,
,,TEVA190614C10,11,"1,671",174.21%,1.88,.019,.061,.00,-.029,.00,.01,I,.005,.01,0,40,1.50%,98.50%,3.05%,22.16%,7823.45%,0,Q,.01,N,14 JUN 19,10,1.74,M,1.80,Q,TEVA190614P10,19,581,193.10%,3.94,-.969,.084,.00,-.043,.00,1.80,W,1.770,1.80,376,11,97.54%,2.46%,5.02%,44.33%,<empty>,,
,,TEVA190614C10.5,1,"1,590",210.58%,2.27,.016,.044,.00,-.032,.00,.01,I,.005,.01,0,449,1.21%,98.79%,2.46%,22.16%,10039.73%,0,N,.01,P,14 JUN 19,10.5,2.24,P,2.29,B,TEVA190614P10.5,5,59,209.93%,4.55,-.984,.043,.00,-.032,.00,2.23,Q,2.265,2.23,42,33,98.81%,1.19%,2.42%,22.16%,<empty>,,
,,TEVA190614C11,0,376,244.35%,2.62,.014,.034,.00,-.035,.00,.04,Q,.005,.04,0,60,1.01%,98.99%,2.06%,22.16%,12256.00%,0,H,.01,H,14 JUN 19,11,2.74,P,2.79,B,TEVA190614P11,0,2,243.69%,5.41,-.986,.034,.00,-.035,.00,1.83,W,2.765,1.83,42,33,99.01%,0.99%,2.03%,22.16%,<empty>,,
