Stock quote and option quote for WMT on 6/14/19 21:48:11

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
109.07,N,+.42,109.00,P,109.15,P,6 x 2,"4,525,883",108.78,109.5863,108.46

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
1.94%,38,.53,Q,8/8/19,109.58,82.37,"2,854,722,100",0.67

Theo parameters
Theo date,Theo stock price,Theo volatility
6/14/19, 0.00$, 0.00%

14 JUN 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Impl Vol,Theo Price,Delta,Gamma,Vega,Theta,Rho,LAST,LX,Mark,Last,BS,AS,Prob.ITM,Prob.OTM,Prob.Touch,Cov Return,Max Cov Return,,
,,WMT190614C85,0,3,307.83%,60.09,.948,.006,.006,-1.107,.004,18.55,W,24.475,18.55,12,12,92.89%,7.11%,13.75%,135.62%,135.62%,23.25,B,25.70,B,14 JUN 19,85,0,C,.03,I,WMT190614P85,0,14,185.76%,19.78,-.004,.001,.001,-.167,.00,.01,C,.015,.01,0,64,0.59%,99.41%,1.17%,5.02%,<empty>,,
,,WMT190614C89,0,0,245.46%,50.63,.950,.007,.006,-.872,.002,0, ,20.375,0,12,12,93.56%,6.44%,12.53%,102.14%,102.14%,19.50,B,21.25,B,14 JUN 19,89,0,C,.03,Z,WMT190614P89,0,0,154.29%,17.16,-.005,.002,.001,-.153,.00,0, ,.015,0,0,41,0.66%,99.34%,1.30%,5.02%,<empty>,,
,,WMT190614C90,0,15,225.89%,47.49,.954,.007,.006,-.771,.002,15.10,A,19.325,15.10,12,12,94.14%,5.86%,11.43%,85.39%,85.39%,18.30,B,20.35,B,14 JUN 19,90,0,C,.03,Z,WMT190614P90,0,174,146.81%,16.51,-.006,.002,.001,-.151,.00,.01,C,.015,.01,0,41,0.69%,99.31%,1.36%,5.02%,<empty>,,
,,WMT190614C91,0,0,223.58%,46.78,.946,.009,.006,-.834,.002,0, ,18.375,0,12,12,93.19%,6.81%,13.29%,102.14%,102.14%,17.40,B,19.35,B,14 JUN 19,91,0,C,1.75,B,WMT190614P91,0,0,291.72%,38.31,-.103,.011,.010,-1.528,.00,0, ,.875,0,0,44,13.34%,86.66%,25.72%,293.01%,<empty>,,
,,WMT190614C92,0,0,208.76%,44.20,.947,.009,.006,-.776,.002,0, ,17.350,0,12,12,93.37%,6.63%,12.96%,93.76%,93.76%,16.60,B,18.10,B,14 JUN 19,92,0,C,1.75,B,WMT190614P92,0,0,278.73%,37.23,-.107,.012,.011,-1.492,.00,0, ,.875,0,0,44,13.70%,86.30%,26.44%,293.01%,<empty>,,
,,WMT190614C93,0,1,215.69%,44.86,.929,.011,.008,-.934,.002,9.10,P,16.475,9.10,12,12,91.24%,8.76%,17.08%,135.62%,135.62%,15.55,B,17.40,B,14 JUN 19,93,0,C,1.75,B,WMT190614P93,0,24,265.77%,36.09,-.112,.013,.011,-1.455,.00,.02,M,.875,.02,0,44,14.08%,85.92%,27.22%,293.01%,<empty>,,
,,WMT190614C94,0,0,175.32%,38.23,.952,.010,.006,-.616,.002,0, ,15.275,0,12,12,94.24%,5.76%,11.31%,68.65%,68.65%,14.50,B,16.05,B,14 JUN 19,94,0,P,.05,Z,WMT190614P94,0,227,124.50%,14.96,-.010,.004,.002,-.184,.00,.08,Z,.025,.08,0,5,1.22%,98.78%,2.42%,8.37%,<empty>,,
,,WMT190614C95,10,21,160.75%,35.47,.954,.011,.006,-.554,.002,13.76,I,14.250,13.76,12,12,94.52%,5.48%,10.77%,60.28%,60.28%,13.70,B,14.80,B,14 JUN 19,95,0,Z,.01,Z,WMT190614P95,0,324,96.79%,10.90,-.003,.002,.001,-.070,.00,.01,C,.005,.01,0,1,0.34%,99.66%,0.68%,1.67%,<empty>,,
,,WMT190614C95.5,0,12,181.40%,38.57,.926,.014,.008,-.807,.002,6.15,C,13.925,6.15,12,12,91.19%,8.81%,17.25%,118.88%,118.88%,12.85,B,15.00,B,14 JUN 19,95.5,0,C,.03,Z,WMT190614P95.5,0,71,105.65%,12.60,-.008,.003,.001,-.131,.00,.03,X,.015,.03,0,40,0.88%,99.12%,1.74%,5.02%,<empty>,,
,,WMT190614C96,0,39,154.99%,34.09,.947,.012,.006,-.579,.002,10.25,Z,13.275,10.25,12,12,93.74%,6.26%,12.30%,68.65%,68.65%,12.75,B,13.80,B,14 JUN 19,96,0,C,.03,Z,WMT190614P96,0,89,102.20%,12.26,-.008,.004,.001,-.130,.00,.07,E,.015,.07,0,46,0.91%,99.09%,1.81%,5.02%,<empty>,,
,,WMT190614C96.5,0,0,141.44%,31.64,.955,.012,.005,-.485,.002,0, ,12.725,0,12,12,94.71%,5.29%,10.41%,51.90%,51.90%,12.10,B,13.35,B,14 JUN 19,96.5,0,C,.03,P,WMT190614P96.5,0,261,97.85%,11.77,-.008,.004,.001,-.124,.00,.01,I,.015,.01,0,38,0.90%,99.10%,1.78%,5.02%,<empty>,,
,,WMT190614C97,0,1,173.29%,36.66,.910,.016,.009,-.858,.002,5.00,Q,12.500,5.00,12,12,89.40%,10.60%,20.76%,143.99%,143.99%,11.40,B,13.60,B,14 JUN 19,97,0,C,.03,P,WMT190614P97,0,83,94.47%,11.44,-.008,.004,.001,-.124,.00,.01,M,.015,.01,0,38,0.94%,99.06%,1.87%,5.02%,<empty>,,
,,WMT190614C97.5,0,39,143.39%,31.52,.937,.015,.007,-.587,.002,5.25,A,11.800,5.25,12,12,92.75%,7.25%,14.27%,77.02%,77.02%,11.20,B,12.40,B,14 JUN 19,97.5,0,C,.03,P,WMT190614P97.5,0,74,90.83%,11.06,-.009,.004,.001,-.122,.00,.05,C,.015,.05,0,38,0.98%,99.02%,1.93%,5.02%,<empty>,,
,,WMT190614C98,0,23,134.73%,29.84,.940,.016,.007,-.540,.002,7.23,E,11.275,7.23,12,12,93.10%,6.90%,13.60%,68.65%,68.65%,10.30,B,12.25,B,14 JUN 19,98,0,Z,.01,Z,WMT190614P98,0,73,76.86%,8.93,-.004,.002,.001,-.063,.00,.01,Q,.005,.01,0,20,0.41%,99.59%,0.82%,1.67%,<empty>,,
,,WMT190614C98.5,1,46,91.57%,22.25,.984,.008,.002,-.174,.003,10.05,P,10.600,10.05,11,11,98.23%,1.77%,3.51%,10.05%,10.05%,10.50,N,10.70,N,14 JUN 19,98.5,0,C,.03,P,WMT190614P98.5,0,89,83.80%,10.33,-.009,.005,.001,-.119,.00,.28,M,.015,.28,0,38,1.06%,98.94%,2.11%,5.02%,<empty>,,
,,WMT190614C99,0,16,124.58%,27.66,.936,.018,.007,-.519,.003,6.29,E,10.275,6.29,14,14,92.70%,7.30%,14.40%,68.65%,68.65%,9.50,N,11.05,N,14 JUN 19,99,0,C,.03,P,WMT190614P99,0,118,79.65%,9.85,-.010,.006,.001,-.113,.00,.01,M,.015,.01,0,38,1.06%,98.94%,2.11%,5.02%,<empty>,,
,,WMT190614C99.5,2,44,119.43%,26.54,.933,.019,.007,-.507,.003,9.45,C,9.775,9.45,15,15,92.48%,7.52%,14.83%,68.65%,68.65%,9.05,N,10.50,N,14 JUN 19,99.5,0,Q,.01,Q,WMT190614P99.5,0,59,66.97%,7.90,-.004,.003,.001,-.059,.00,.04,W,.005,.04,0,2,0.46%,99.54%,0.92%,1.67%,<empty>,,
,,WMT190614C100,239,419,107.34%,24.22,.942,.019,.007,-.422,.003,9.25,C,9.225,9.25,11,31,93.55%,6.45%,12.75%,51.90%,51.90%,9.05,N,9.40,X,14 JUN 19,100,0,Z,.01,N,WMT190614P100,0,319,63.68%,7.55,-.004,.004,.001,-.058,.00,.02,X,.005,.02,0,85,0.48%,99.52%,0.96%,1.67%,<empty>,,
,,WMT190614C101,6,207,71.70%,17.49,.981,.011,.003,-.154,.003,8.30,C,8.100,8.30,11,11,97.88%,2.12%,4.20%,10.05%,10.05%,8.05,N,8.15,N,14 JUN 19,101,0,C,.02,Z,WMT190614P101,0,639,62.12%,7.72,-.009,.007,.001,-.084,.00,.03,M,.010,.03,0,10,0.94%,99.06%,1.87%,3.35%,<empty>,,
,,WMT190614C102,15,329,63.88%,15.58,.978,.014,.003,-.147,.003,7.14,E,7.100,7.14,7,21,97.66%,2.34%,4.65%,10.05%,10.05%,7.05,N,7.15,H,14 JUN 19,102,0,Q,.01,P,WMT190614P102,2,"1,181",50.52%,6.13,-.005,.005,.001,-.052,.00,.03,I,.005,.03,0,48,0.58%,99.42%,1.16%,1.67%,<empty>,,
,,WMT190614C103,25,"1,265",55.91%,13.63,.976,.018,.003,-.137,.003,6.43,E,6.100,6.43,7,21,97.40%,2.60%,5.17%,10.05%,10.05%,6.05,N,6.15,H,14 JUN 19,103,0,C,.01,C,WMT190614P103,0,555,43.92%,5.40,-.006,.007,.001,-.049,.00,.01,C,.005,.01,0,50,0.66%,99.34%,1.31%,1.67%,<empty>,,
,,WMT190614C104,133,439,47.91%,11.65,.972,.023,.004,-.128,.003,5.46,C,5.100,5.46,7,12,97.04%,2.96%,5.89%,10.05%,10.05%,5.05,N,5.15,C,14 JUN 19,104,0,N,.01,Q,WMT190614P104,35,880,37.28%,4.65,-.007,.009,.001,-.045,.00,.02,I,.005,.02,0,119,0.75%,99.25%,1.50%,1.67%,<empty>,,
