Quote on 6/15/19 12:02:59

0 - Optionable
Symbol,Volume,Open.Int,Impl Vol,Theo Price,Last Size,Last,%Change,Bid,Ask,Size,Open,High,Low,Delta,Gamma,Vega,Theta,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,ROR,ROC,% Out Of The Money,Mark % of underlying value,Mark %Change,Yield,Front Expected Move,Front Vol,Back Expected Move,Back Vol,Expected Move Diff,Market Maker Move,Weighted Back Vol,Call Sizzle Index,P/C Ratio,Put Sizzle Index,Vol Index,Vol Diff,Sizzle Index,HTB/ETB,Description,Sector,Industry,Shares,Sub-Industry
LGCY,"82,259,148",0,<empty>,.1530,"33,569",.1500,+8.70%,.1530,.1530,196 x 33,.1955,.2222,.1310,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,+2.00%,400.00%,±0.118,578.69%,±0.249,397.68%,±0.152,±0.089,338.64%,3.39,0.181,1.822,<empty>,181.01%,2.994,,LEGACY RESERVES INC COM,Energy,"Oil, Gas & Consumable Fuels","114,812,812",Oil & Gas Exploration & Production
AMD,"70,373,015",0,49.96%,30.22,"910,884",30.36,-3.28%,30.20,30.22,2 x 5,30.70,30.96,30.02,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,-0.46%,<empty>,±1.657,49.71%,±2.429,51.24%,±1.771,<empty>,52.70%,0.702,0.689,0.864,49.96%,-1.53%,0.76,,ADVANCED MICRO DEVICES INC COM,Information Technology,Semiconductors & Semiconductor Equipment,"1,081,600,720",Semiconductors
CUZ,"56,852,415",0,18.22%,9.74,"24,239,952",9.74,+1.35%,9.52,10.01,10 x 3,9.59,9.75,9.58,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,11.91%,±0.196,18.39%,±0.44,18.30%,±0.394,±0.022,18.28%,0.088,0.286,1.974,18.22%,0.09%,0.088,,COUSINS PROPERTIES INC 1:4 R/S 6/17/19 222795502,Real Estate,Equity Real Estate Investment Trusts (REITs),"105,146,532",Office REITs
CHK,"45,054,965",0,105.95%,1.77,"991,306",1.77,-3.28%,1.76,1.78,61 x 547,1.82,1.82,1.75,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,±0.152,78.08%,±0.143,73.39%,<empty>,<empty>,<empty>,0.55,0.355,0.705,105.95%,4.69%,0.584,,CHESAPEAKE ENERGY CORP COM,Energy,"Oil, Gas & Consumable Fuels","1,633,677,800",Oil & Gas Exploration & Production
BAC,"37,322,101",0,29.93%,28.04,"4,291,674",28.04,+0.36%,28.01,28.09,20 x 10,27.91,28.17,27.78,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,2.14%,±0.821,26.70%,±1.2,27.46%,±0.874,<empty>,28.19%,0.66,1.002,0.806,29.93%,-0.76%,0.726,,BANK OF AMERICA CORPORATION COM,Financials,Banks,"9,508,203,200",Diversified Banks
ARQL,"34,392,108",0,118.90%,8.25,"223,156",8.20,+30.37%,8.25,8.33,2 x 1,9.01,9.10,8.02,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,+0.61%,<empty>,±1.593,173.89%,±2.423,114.82%,±1.758,±1.328,94.81%,1.794,0.736,2.232,118.90%,59.07%,1.957,,ARQULE  INC COM,Health Care,Biotechnology,"109,309,877",Biotechnology
GE,"34,355,052",0,41.97%,10.24,"3,614,641",10.23,-0.78%,10.24,10.26,18 x 5,10.28,10.34,10.18,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,+0.10%,0.39%,±0.463,41.24%,±0.617,54.95%,±0.408,±0.138,++,0.382,2.028,1.073,41.97%,-13.71%,0.672,,GENERAL ELECTRIC CO COM,Industrials,Industrial Conglomerates,"8,720,808,000",Industrial Conglomerates
S,"33,156,909",0,221.14%,7.01,"677,614",7.01,+2.94%,6.91,7.06,1 x 50,6.76,7.24,6.73,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,<empty>,±0.906,116.91%,±1.717,152.76%,±1.434,<empty>,181.24%,0.907,3.01,1.114,221.14%,-35.85%,1.054,,SPRINT CORPORATION COM,Communication Services,Wireless Telecommunication Services,"4,090,807,600",Wireless Telecommunication Services
ECA,"28,807,937",0,67.71%,4.67,"220,703",4.66,-5.67%,4.67,4.79,2 x 480,4.90,4.915,4.63,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,+0.21%,1.61%,±0.338,66.03%,±0.34,66.43%,±0.037,<empty>,++,1.236,0.898,2.089,67.71%,-0.40%,1.532,,ENCANA CORPORATION COM,Energy,"Oil, Gas & Consumable Fuels","1,406,294,700",Oil & Gas Exploration & Production
RIG,"27,634,903",0,69.18%,5.42,"1,040,421",5.42,-4.58%,5.39,5.44,10 x 54,5.56,5.59,5.28,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,0.00%,11.07%,±0.416,69.77%,±0.576,67.84%,±0.396,±0.136,65.89%,1.949,0.156,0.506,69.18%,1.93%,1.407,,TRANSOCEAN LIMITED COM,Energy,Energy Equipment & Services,"611,631,550",Oil & Gas Drilling
