Quote on 6/17/19 17:21:33

0 - DayScan
Symbol,Volume,Open.Int,Impl Vol,Theo Price,Last Size,Last,%Change,Bid,Ask,Size,Open,High,Low,Delta,Gamma,Vega,Theta,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,ROR,ROC,% Out Of The Money,Mark % of underlying value,Mark %Change,Yield,Front Expected Move,Front Vol,Back Expected Move,Back Vol,Expected Move Diff,Market Maker Move,Weighted Back Vol,Call Sizzle Index,P/C Ratio,Put Sizzle Index,Vol Index,Vol Diff,Sizzle Index,HTB/ETB,Description,Sector,Industry,Shares,Sub-Industry
ARRY,"82,848,128",0,++,46.44,"399,487",46.44,+56.94%,46.35,46.49,3 x 8,47.04,47.05,45.67,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,+56.94%,<empty>,±2.33,55.50%,-inf,--,+inf,<empty>,++,4.008,3.237,135.3,++,++,15.495,,ARRAY BIOPHARMA INC COM,Health Care,Biotechnology,"221,750,760",Biotechnology
AMD,"70,578,886",0,51.16%,29.25,"616,605",29.20,-3.82%,29.25,29.28,22 x 10,30.25,30.45,29.18,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,-3.66%,<empty>,±1.408,53.33%,±2.205,52.76%,±1.693,±0.265,52.38%,0.887,0.448,0.711,51.16%,0.57%,0.824,,ADVANCED MICRO DEVICES INC COM,Information Technology,Semiconductors & Semiconductor Equipment,"1,081,600,720",Semiconductors
GDX,"50,675,513",0,26.12%,23.46,0,23.46,+0.56%,23.43,23.47,29 x 108,23.38,23.47,23.135,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,+0.56%,0.45%,±0.681,32.14%,±0.933,27.84%,±0.637,±0.439,24.55%,0.421,0.452,0.618,26.12%,4.30%,0.468,,VANECK VECTORS ETF TRUST GOLD MINERS ETF,,,"71,583,000",
EEM,"48,637,416",0,19.16%,40.95,0,40.95,+0.40%,40.95,41.05,2 x 107,40.82,41.03,40.815,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,-0.36%,1.52%,±0.777,21.00%,±1.132,19.37%,±0.824,±0.387,18.20%,0.335,5.269,1.593,19.16%,1.63%,0.996,,ISHARES TRUST MSCI EMG MKT ETF,,,"891,000,000",
GE,"46,012,633",0,39.48%,10.05,"2,486,183",10.05,-1.76%,10.03,10.05,49 x 23,10.20,10.24,10.02,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,-1.76%,0.40%,±0.434,47.77%,±0.55,60.54%,±0.338,±0.29,++,0.611,1.092,0.924,39.48%,-12.77%,0.743,,GENERAL ELECTRIC CO COM,Industrials,Industrial Conglomerates,"8,720,808,000",Industrial Conglomerates
CHK,"41,470,427",0,99.72%,1.83,"977,590",1.83,+3.39%,1.82,1.83,79 x 98,1.75,1.85,1.73,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,+3.39%,<empty>,±0.133,80.17%,±0.122,73.39%,<empty>,±0.033,<empty>,0.677,0.207,0.508,99.72%,6.78%,0.641,,CHESAPEAKE ENERGY CORP COM,Energy,"Oil, Gas & Consumable Fuels","1,633,677,800",Oil & Gas Exploration & Production
XLF,"40,926,858",0,19.51%,27.02,0,26.99,-0.92%,27.02,27.04,86 x 49,27.23,27.305,26.96,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,-0.81%,2.00%,±0.595,24.40%,±0.837,21.71%,±0.588,±0.35,19.71%,0.922,1.154,0.536,19.51%,2.69%,0.665,,SELECT SECTOR SPDR TRUST SBI INT-FINL ETF,,,"739,000,000",
SPY,"39,006,911",0,15.19%,289.67,0,289.37,+0.04%,289.67,289.68,19 x 1,289.52,290.22,289.18,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,+0.14%,1.70%,-inf,--,±2.516,12.73%,<empty>,+inf,<empty>,0.878,1.419,0.753,15.19%,--,0.8,,SPDR S&P500 ETF TRUST TR UNIT ETF,,,"947,430,000",
BAC,"33,321,153",0,29.20%,28.03,"2,343,812",27.93,-0.39%,28.03,28.06,2 x 139,28.01,28.22,27.79,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,-0.04%,2.15%,±0.693,27.46%,±1.08,27.07%,±0.828,±0.15,26.81%,0.594,0.894,0.646,29.20%,0.39%,0.617,,BANK OF AMERICA CORPORATION COM,Financials,Banks,"9,508,203,200",Diversified Banks
USO,"30,914,427",0,45.65%,10.81,0,10.81,-1.19%,10.80,10.86,2 x 5,10.85,10.945,10.75,1.000,.00,.00,.00,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,100.00%,-1.19%,<empty>,±0.486,49.79%,±0.734,47.45%,±0.548,±0.19,45.82%,0.762,0.519,0.373,45.65%,2.34%,0.561,,UNITED STATES OIL FUND LP UNITS ETF,,,"165,500,000",
