Stock quote and option quote for AIG on 7/1/19 17:55:49

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
53.84,N,+.56,53.60,P,53.99,P,4 x 4,"3,199,846",53.53,53.97,53.17

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.38%,-185.7,.32,Q,6/13/19,56.36,36.16,"869,753,580",0.8

Theo parameters
Theo date,Theo stock price,Theo volatility
7/1/19, 0.00$, 0.00%

5 JUL 19  (4)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,High,Low,Prob.OTM,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,High,Low,Prob.OTM,Prob.Touch,,
,,AIG190705C49,0,20,.944,.006,-.028,.006,.001,44.25%,4.85,<empty>,<empty>,96.35%,1.36%,1.36%,4.850,50 x 26,50,26,0.00%,5.00,5.00,Q,0,0,3.65%,7.22%,4.75,B,4.95,H,5 JUL 19,49,0,J,.15,M,AIG190705P49,0,69,-.054,.034,-.038,.007,.00,51.06%,.07535889,1.27%,0.15%,6.10%,10.18%,<empty>,.075,0 x 55,0,55,0.00%,.05,.05,X,0,0,93.90%,12.05%,,
,,AIG190705C49.5,0,0,.938,.021,-.032,.007,.002,43.21%,4.38,<empty>,<empty>,94.92%,4.75%,4.75%,4.375,49 x 39,49,39,<empty>,0,0, ,0,0,5.08%,10.06%,4.15,C,4.60,H,5 JUL 19,49.5,0,J,.38,H,AIG190705P49.5,0,15,-.104,.049,-.068,.011,-.001,58.76%,.19013732,2.96%,0.39%,11.75%,25.78%,<empty>,.190,0 x 25,0,25,0.00%,.06,.06,X,0,0,88.25%,23.11%,,
,,AIG190705C50,0,4,.945,.010,-.022,.006,.001,34.83%,3.85,<empty>,<empty>,96.36%,1.36%,1.36%,3.850,48 x 21,48,21,0.00%,3.85,3.85,E,0,0,3.64%,7.21%,3.65,B,4.05,H,5 JUL 19,50,0,J,.11,X,AIG190705P50,0,6,-.052,.043,-.028,.007,.00,39.41%,.05500996,0.79%,0.11%,5.69%,7.46%,<empty>,.055,0 x 38,0,38,0.00%,.09,.09,C,0,0,94.31%,11.27%,,
,,AIG190705C50.5,0,0,.945,.013,-.019,.006,.001,30.26%,3.35,<empty>,<empty>,96.33%,1.36%,1.36%,3.350,51 x 21,51,21,<empty>,0,0, ,0,0,3.67%,7.29%,3.25,B,3.45,H,5 JUL 19,50.5,0,J,.04,X,AIG190705P50.5,0,20,-.028,.035,-.013,.004,.00,28.95%,.02000854,0.27%,0.04%,3.05%,2.71%,<empty>,.020,0 x 58,0,58,0.00%,.07,.07,H,0,0,96.95%,6.06%,,
,,AIG190705C51,0,39,.922,.055,-.029,.009,.004,31.69%,2.90,<empty>,<empty>,92.54%,7.46%,7.46%,2.895,33 x 21,33,21,0.00%,3.07,3.07,Q,0,0,7.46%,14.79%,2.79,W,3.00,H,5 JUL 19,51,0,J,.04,X,AIG190705P51,20,94,-.032,.045,-.013,.005,.00,25.19%,.02001746,0.25%,0.04%,3.41%,2.71%,<empty>,.020,0 x 72,0,72,-66.67%,.03,.03,C,.03,.03,96.59%,6.79%,,
,,AIG190705C51.5,0,0,.912,.076,-.028,.010,.004,27.53%,2.40,<empty>,<empty>,91.35%,8.14%,8.14%,2.400,50 x 21,50,21,<empty>,0,0, ,0,0,8.65%,17.16%,2.26,B,2.54,H,5 JUL 19,51.5,0,J,.04,H,AIG190705P51.5,30,0,-.037,.060,-.012,.005,.00,21.39%,.02002494,0.24%,0.04%,3.90%,2.71%,<empty>,.020,0 x 52,0,52,<empty>,.05,.05,Z,.05,.04,96.10%,7.76%,,
,,AIG190705C52,0,17,.909,.101,-.022,.010,.004,21.84%,1.89,<empty>,<empty>,91.11%,6.78%,6.78%,1.890,33 x 21,33,21,0.00%,.97,.97,I,0,0,8.89%,17.67%,1.80,H,1.98,H,5 JUL 19,52,.03,Z,.05,I,AIG190705P52,20,94,-.070,.105,-.018,.009,-.001,20.31%,.04012458,0.45%,0.08%,7.35%,5.43%,<empty>,.040,16 x 80,16,80,-64.71%,.06,.06,P,.06,.06,92.65%,14.61%,,
,,AIG190705C52.5,16,143,.889,.157,-.021,.012,.004,17.52%,1.40,<empty>,<empty>,88.85%,7.46%,7.46%,1.395,95 x 56,95,56,-14.55%,.94,.94,X,1.17,.94,11.15%,22.19%,1.32,C,1.47,X,5 JUL 19,52.5,.05,T,.08,I,AIG190705P52.5,20,340,-.116,.170,-.023,.012,-.001,18.15%,.06518545,0.69%,0.12%,11.99%,8.82%,<empty>,.065,51 x 64,51,64,-83.87%,.05,.05,X,.05,.05,88.01%,23.86%,,
,,AIG190705C53,21,"1,015",.755,.251,-.038,.020,.005,19.69%,1.02,<empty>,<empty>,74.86%,24.42%,24.42%,1.020,78 x 334,78,334,+41.54%,.92,.92,P,.96,.59,25.14%,49.91%,.92,X,1.12,X,5 JUL 19,53,.09,X,.15,H,AIG190705P53,25,125,-.204,.274,-.029,.018,-.002,16.45%,.12001136,1.21%,0.23%,20.99%,16.28%,<empty>,.120,244 x 21,244,21,-50.00%,.24,.24,B,.33,.24,79.01%,41.74%,,
,,AIG190705C53.5,4,18,.632,.362,-.037,.024,.004,16.52%,.60501956,<empty>,<empty>,62.45%,35.95%,35.95%,.605,86 x 264,86,264,+41.30%,.65,.65,N,.65,.29,37.55%,74.56%,.53,X,.68,X,5 JUL 19,53.5,.22,Q,.27,X,AIG190705P53.5,14,38,-.361,.380,-.035,.024,-.003,15.63%,.24502693,2.35%,0.46%,36.83%,33.24%,<empty>,.245,9 x 176,9,176,-32.88%,.49,.49,Q,.50,.45,63.17%,73.15%,,
