Stock quote and option quote for AIG on 9/1/19 18:03:02

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
52.04,N,-.42,51.70,P,52.25,P,5 x 5,"4,565,049",52.88,52.88,51.80

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
2.46%,-650.5,.32,Q,9/16/19,57.585,36.16,"869,908,300",0.82

Theo parameters
Theo date,Theo stock price,Theo volatility
9/1/19, 0.00$, 0.00%

6 SEP 19  (5)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,,
,,AIG190906C45,0,0,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-10.53%,0.00%,6.950,36 x 13,36,13,<empty>,0,0, ,0,0,0,6.65,B,7.25,C,6 SEP 19,45,0,W,.37,X,AIG190906P45,0,0,-.074,.026,-.065,.009,-.001,81.08%,.18503496,4.11%,0.41%,8.92%,17.42%,91.08%,21.64%,<empty>,.185,0 x 148,0,148,<empty>,0,0, ,0,0,0,,
,,AIG190906C45.5,0,0,.941,.004,-.033,.007,.001,58.14%,6.55,<empty>,<empty>,96.11%,7.66%,3.89%,1.17%,1.17%,6.550,194 x 47,194,47,<empty>,0,0, ,0,0,0,6.20,M,6.90,M,6 SEP 19,45.5,0,D,.37,X,AIG190906P45.5,0,0,-.078,.029,-.064,.010,-.001,76.30%,.18504736,4.07%,0.41%,9.28%,18.15%,90.72%,21.64%,<empty>,.185,0 x 166,0,166,<empty>,0,0, ,0,0,0,,
,,AIG190906C46,0,0,.933,.016,-.040,.008,.003,60.10%,6.10,<empty>,<empty>,94.09%,11.63%,5.91%,7.02%,7.02%,6.100,200 x 16,200,16,<empty>,0,0, ,0,0,0,5.80,M,6.40,C,6 SEP 19,46,0,W,.37,X,AIG190906P46,0,0,-.082,.032,-.062,.010,-.001,71.51%,.18505915,4.02%,0.40%,9.69%,18.97%,90.31%,21.64%,<empty>,.185,0 x 639,0,639,<empty>,0,0, ,0,0,0,,
,,AIG190906C46.5,0,0,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-1.75%,0.00%,5.525,105 x 16,105,16,<empty>,0,0, ,0,0,0,5.25,A,5.80,C,6 SEP 19,46.5,0,W,.21,X,AIG190906P46.5,0,0,-.061,.031,-.041,.008,-.001,58.17%,.10525568,2.16%,0.23%,7.06%,13.88%,92.94%,12.28%,<empty>,.105,0 x 769,0,769,<empty>,0,0, ,0,0,0,,
,,AIG190906C47,0,0,.932,.022,-.035,.008,.003,50.66%,5.10,<empty>,<empty>,93.76%,12.30%,6.24%,7.02%,7.02%,5.100,64 x 10,64,10,<empty>,0,0, ,0,0,0,4.80,A,5.40,P,6 SEP 19,47,0,W,.22,X,AIG190906P47,0,0,-.067,.036,-.041,.009,-.001,54.33%,.11000326,2.05%,0.23%,7.68%,15.12%,92.32%,12.87%,<empty>,.110,0 x 765,0,765,<empty>,0,0, ,0,0,0,,
,,AIG190906C47.5,0,0,.922,.032,-.038,.009,.004,48.81%,4.63,<empty>,<empty>,92.32%,15.15%,7.68%,9.94%,9.94%,4.625,11 x 7,11,7,<empty>,0,0, ,0,0,0,4.45,H,4.80,W,6 SEP 19,47.5,0,D,.21,X,AIG190906P47.5,0,0,-.070,.041,-.039,.009,-.001,49.39%,.10531101,1.79%,0.22%,7.94%,15.65%,92.06%,12.28%,<empty>,.105,0 x 804,0,804,<empty>,0,0, ,0,0,0,,
,,AIG190906C48,0,0,.918,.039,-.036,.010,.004,44.15%,4.13,<empty>,<empty>,91.90%,15.98%,8.10%,9.94%,9.94%,4.125,11 x 15,11,15,<empty>,0,0, ,0,0,0,3.95,H,4.30,C,6 SEP 19,48,.05,Z,.10,X,AIG190906P48,0,0,-.062,.044,-.029,.008,-.001,41.57%,.07532606,1.18%,0.16%,6.83%,13.49%,93.17%,8.77%,<empty>,.075,16 x 387,16,387,<empty>,0,0, ,0,0,0,,
,,AIG190906C48.5,0,0,.946,.013,-.017,.007,.002,30.52%,3.55,<empty>,<empty>,96.24%,7.45%,3.76%,1.17%,1.17%,3.550,164 x 6,164,6,<empty>,0,0, ,0,0,0,3.30,M,3.80,P,6 SEP 19,48.5,.06,H,.09,X,AIG190906P48.5,0,0,-.067,.052,-.028,.009,-.001,37.31%,.07500268,1.09%,0.15%,7.38%,14.60%,92.62%,8.77%,<empty>,.075,145 x 232,145,232,<empty>,0,0, ,0,0,0,,
,,AIG190906C49,0,0,.916,.056,-.028,.010,.004,33.45%,3.11,<empty>,<empty>,91.63%,16.56%,8.37%,8.19%,8.19%,3.110,172 x 52,172,52,<empty>,0,0, ,0,0,0,2.92,M,3.30,H,6 SEP 19,49,.08,H,.11,X,AIG190906P49,0,5,-.087,.068,-.032,.011,-.001,35.08%,.09545827,1.29%,0.19%,9.43%,18.66%,90.57%,11.11%,<empty>,.095,171 x 131,171,131,0.00%,.08,.08,C,0,0,0,,
,,AIG190906C49.5,0,0,.867,.086,-.041,.014,.005,35.31%,2.69,<empty>,<empty>,86.02%,27.62%,13.98%,17.55%,17.55%,2.690,396 x 415,396,415,<empty>,0,0, ,0,0,0,2.56,M,2.82,X,6 SEP 19,49.5,.10,X,.14,H,AIG190906P49.5,1,0,-.112,.088,-.035,.013,-.001,32.63%,.12026818,1.53%,0.24%,12.02%,23.78%,87.98%,14.04%,<empty>,.120,169 x 76,169,76,<empty>,.15,.15,M,.15,.15,.15,,
