Stock quote and option quote for FEYE on 9/1/19 18:02:21

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
13.43,Q,+.04,13.36,P,13.60,P,5 x 5,"1,870,788",13.45,13.575,13.33

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
<empty>,-11.1,<empty>,--,,20.61,12.66,"214,753,300",1.24

Theo parameters
Theo date,Theo stock price,Theo volatility
9/1/19, 0.00$, 0.00%

6 SEP 19  (5)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,,
,,FEYE190906C8,0,0,.964,.019,-.028,.001,.001,245.73%,5.50,<empty>,<empty>,93.17%,12.83%,6.83%,31.73%,31.73%,5.500,94 x 149,94,149,<empty>,0,0, ,0,0,0,3.40,A,7.60,Z,6 SEP 19,8,0,N,.24,Z,FEYE190906P8,0,0,-.052,.022,-.044,.002,.00,278.85%,.12004886,12.00%,1.52%,10.17%,18.85%,89.83%,54.39%,<empty>,.120,0 x 224,0,224,<empty>,0,0, ,0,0,0,,
,,FEYE190906C8.5,0,0,1.000,.00,.00,.00,.001,--,<empty>,<empty>,<empty>,100.00%,0.00%,0.00%,-2.27%,0.00%,4.925,28 x 99,28,99,<empty>,0,0, ,0,0,0,2.90,C,6.95,Z,6 SEP 19,8.5,0,N,.21,Z,FEYE190906P8.5,0,0,-.053,.026,-.039,.002,.00,243.86%,.10511327,10.50%,1.25%,9.54%,17.85%,90.46%,47.59%,<empty>,.105,0 x 226,0,226,<empty>,0,0, ,0,0,0,,
,,FEYE190906C9,0,0,1.000,.00,.00,.00,.001,--,<empty>,<empty>,<empty>,100.00%,0.00%,0.00%,-13.60%,0.00%,4.400,11 x 82,11,82,<empty>,0,0, ,0,0,0,4.00,H,4.80,B,6 SEP 19,9,0,J,.24,Z,FEYE190906P9,0,0,-.063,.032,-.041,.002,.00,225.87%,.12004411,12.00%,1.35%,10.77%,20.21%,89.23%,54.39%,<empty>,.120,0 x 229,0,229,<empty>,0,0, ,0,0,0,,
,,FEYE190906C10,0,0,.970,.031,-.013,.001,.002,127.68%,3.46,<empty>,<empty>,95.75%,8.24%,4.25%,13.60%,13.60%,3.460,34 x 104,34,104,<empty>,0,0, ,0,0,0,1.42,C,5.50,Z,6 SEP 19,10,0,N,.23,Z,FEYE190906P10,0,0,-.077,.048,-.037,.002,.00,175.50%,.11502758,11.50%,1.16%,11.51%,21.87%,88.49%,52.13%,<empty>,.115,0 x 222,0,222,<empty>,0,0, ,0,0,0,,
,,FEYE190906C11,0,0,.972,.045,-.008,.001,.002,84.26%,2.45,<empty>,<empty>,96.39%,7.09%,3.61%,9.07%,9.07%,2.450,31 x 88,31,88,<empty>,0,0, ,0,0,0,.45,H,4.45,Z,6 SEP 19,11,0,N,.19,Z,FEYE190906P11,0,0,-.090,.076,-.029,.003,.00,123.78%,.09526045,8.64%,0.87%,11.88%,22.92%,88.12%,43.06%,<empty>,.095,0 x 192,0,192,<empty>,0,0, ,0,0,0,,
,,FEYE190906C11.5,0,0,.931,.091,-.017,.002,.002,84.79%,1.98,<empty>,<empty>,91.56%,16.49%,8.44%,22.66%,22.66%,1.980,23 x 21,23,21,<empty>,0,0, ,0,0,0,1.51,C,2.45,M,6 SEP 19,11.5,0,B,.15,Q,FEYE190906P11.5,0,2,-.093,.100,-.023,.003,.00,95.97%,.07500217,6.52%,0.66%,11.46%,22.29%,88.54%,33.99%,<empty>,.075,0 x 28,0,28,0.00%,.05,.05,Q,0,0,0,,
,,FEYE190906C12,0,21,.797,.141,-.048,.005,.001,116.63%,1.68,<empty>,<empty>,75.19%,47.62%,24.81%,113.32%,113.32%,1.680,16 x 90,16,90,0.00%,1.56,1.56,Q,0,0,0,1.27,Z,2.09,B,6 SEP 19,12,0,J,.08,X,FEYE190906P12,0,21,-.078,.133,-.014,.003,.00,63.98%,.04012632,3.18%,0.33%,9.08%,17.86%,90.92%,18.13%,<empty>,.040,0 x 890,0,890,0.00%,.07,.07,H,0,0,0,,
,,FEYE190906C12.5,5,5,.693,.152,-.068,.006,.001,134.67%,1.44,<empty>,<empty>,62.98%,70.11%,37.02%,228.90%,228.90%,1.435,80 x 243,80,243,+20.48%,1.00,1.00,E,1.00,1.00,1.00,.80,A,2.07,X,6 SEP 19,12.5,0,J,.07,X,FEYE190906P12.5,0,26,-.097,.225,-.011,.003,.00,44.19%,.03538224,1.99%,0.28%,10.67%,21.11%,89.33%,15.86%,<empty>,.035,0 x 907,0,907,0.00%,.02,.02,C,0,0,0,,
,,FEYE190906C13,43,124,.835,.538,-.010,.004,.002,26.75%,.47506446,<empty>,<empty>,82.68%,34.50%,17.32%,20.40%,20.40%,.475,849 x 60,849,60,+13.33%,.51,.51,Z,.57,.57,.51,.30,X,.65,B,6 SEP 19,13,.05,I,.11,X,FEYE190906P13,1,122,-.225,.498,-.015,.005,-.001,35.04%,.08026341,3.55%,0.62%,23.90%,47.38%,76.10%,36.26%,<empty>,.080,162 x 946,162,946,-12.50%,.07,.07,E,.07,.07,.07,,
,,FEYE190906C13.5,155,"1,365",.456,.788,-.017,.007,.001,29.22%,.17003494,<empty>,<empty>,44.09%,88.84%,55.91%,77.06%,108.78%,.170,214 x 57,214,57,+15.79%,.22,.22,C,.29,.29,.19,.15,X,.19,I,6 SEP 19,13.5,.22,M,.33,X,FEYE190906P13.5,94,851,-.535,.661,-.019,.007,-.001,34.98%,.275062,10.24%,2.08%,55.21%,90.61%,44.79%,92.92%,<empty>,.275,"136 x 1,058",136,"1,058",-8.00%,.23,.23,C,.21,.24,.21,,
