Stock quote and option quote for IBM on 9/1/19 18:02:51

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
135.53,N,+.65,135.30,P,135.77,P,5 x 5,"2,960,594",135.58,136.07,134.3627

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
4.78%,14.02,1.62,Q,8/8/19,154.36,105.94,"885,875,160",1.09

Theo parameters
Theo date,Theo stock price,Theo volatility
9/1/19, 0.00$, 0.00%

6 SEP 19  (5)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,,
,,IBM190906C111,0,0,.907,.006,-.260,.027,.008,117.04%,25.18,<empty>,<empty>,89.49%,20.28%,10.51%,28.97%,28.97%,25.175,21 x 21,21,21,<empty>,0,0, ,0,0,0,23.80,B,26.55,B,6 SEP 19,111,0,P,.05,W,IBM190906P111,0,0,-.007,.002,-.021,.003,.00,63.99%,.02505454,0.23%,0.02%,0.85%,1.67%,99.15%,1.12%,<empty>,.025,0 x 146,0,146,<empty>,0,0, ,0,0,0,,
,,IBM190906C112,0,0,.916,.005,-.217,.025,.008,105.89%,24.00,<empty>,<empty>,90.89%,17.66%,9.11%,21.11%,21.11%,24.000,21 x 21,21,21,<empty>,0,0, ,0,0,0,22.40,B,25.60,B,6 SEP 19,112,0,P,.05,W,IBM190906P112,0,0,-.007,.002,-.021,.003,.00,61.43%,.02511799,0.22%,0.02%,0.87%,1.72%,99.13%,1.12%,<empty>,.025,0 x 146,0,146,<empty>,0,0, ,0,0,0,,
,,IBM190906C113,0,0,.913,.006,-.216,.026,.008,102.62%,23.03,<empty>,<empty>,90.54%,18.34%,9.46%,22.23%,22.23%,23.025,21 x 21,21,21,<empty>,0,0, ,0,0,0,21.50,B,24.55,B,6 SEP 19,113,0,B,.07,Z,IBM190906P113,0,0,-.010,.002,-.027,.004,.00,61.38%,.03508135,0.31%,0.03%,1.17%,2.31%,98.83%,1.57%,<empty>,.035,0 x 31,0,31,<empty>,0,0, ,0,0,0,,
,,IBM190906C114,0,0,.896,.008,-.266,.030,.010,108.26%,22.30,<empty>,<empty>,87.98%,23.23%,12.02%,34.58%,34.58%,22.300,21 x 21,21,21,<empty>,0,0, ,0,0,0,21.10,B,23.50,B,6 SEP 19,114,0,B,.04,B,IBM190906P114,0,1,-.006,.002,-.018,.003,.00,54.95%,.02046872,0.18%,0.02%,0.79%,1.55%,99.21%,0.90%,<empty>,.020,0 x 26,0,26,0.00%,.02,.02,M,0,0,0,,
,,IBM190906C115,0,0,.903,.008,-.230,.028,.009,98.80%,21.15,<empty>,<empty>,89.07%,21.19%,10.93%,27.85%,27.85%,21.150,21 x 21,21,21,<empty>,0,0, ,0,0,0,19.75,B,22.55,B,6 SEP 19,115,0,P,.05,P,IBM190906P115,0,4,-.008,.002,-.021,.004,.00,53.87%,.02544251,0.22%,0.02%,0.97%,1.91%,99.03%,1.12%,<empty>,.025,0 x 26,0,26,0.00%,.09,.09,I,0,0,0,,
,,IBM190906C116,0,0,.928,.006,-.144,.022,.007,79.81%,19.78,<empty>,<empty>,92.86%,13.94%,7.14%,11.00%,11.00%,19.775,21 x 21,21,21,<empty>,0,0, ,0,0,0,19.10,B,20.45,B,6 SEP 19,116,0,P,.07,W,IBM190906P116,0,0,-.011,.003,-.026,.005,.00,53.55%,.03531417,0.30%,0.03%,1.30%,2.56%,98.70%,1.57%,<empty>,.035,0 x 70,0,70,<empty>,0,0, ,0,0,0,,
,,IBM190906C117,0,0,.883,.010,-.266,.033,.011,98.43%,19.40,<empty>,<empty>,86.40%,26.32%,13.60%,39.08%,39.08%,19.400,21 x 26,21,26,<empty>,0,0, ,0,0,0,18.20,B,20.60,X,6 SEP 19,117,0,P,.06,Z,IBM190906P117,0,0,-.010,.003,-.023,.005,.00,49.86%,.03000696,0.26%,0.03%,1.19%,2.34%,98.81%,1.35%,<empty>,.030,0 x 31,0,31,<empty>,0,0, ,0,0,0,,
,,IBM190906C118,0,0,.883,.011,-.251,.033,.011,92.62%,18.35,<empty>,<empty>,86.51%,26.16%,13.49%,36.83%,36.83%,18.350,21 x 21,21,21,<empty>,0,0, ,0,0,0,17.20,I,19.50,I,6 SEP 19,118,0,P,.08,Z,IBM190906P118,0,16,-.013,.004,-.028,.006,.00,49.25%,.0404444,0.34%,0.03%,1.56%,3.07%,98.44%,1.80%,<empty>,.040,0 x 42,0,42,0.00%,.19,.19,P,0,0,0,,
,,IBM190906C119,0,0,.936,.006,-.104,.020,.006,63.55%,16.68,<empty>,<empty>,93.95%,11.87%,6.05%,6.51%,6.51%,16.675,21 x 21,21,21,<empty>,0,0, ,0,0,0,15.00,B,18.35,B,6 SEP 19,119,0,P,.07,Z,IBM190906P119,0,106,-.012,.004,-.025,.006,.00,45.70%,.03500005,0.29%,0.03%,1.45%,2.86%,98.55%,1.57%,<empty>,.035,0 x 42,0,42,0.00%,.06,.06,H,0,0,0,,
,,IBM190906C120,0,0,.876,.013,-.238,.035,.011,84.14%,16.35,<empty>,<empty>,85.78%,27.64%,14.22%,36.83%,36.83%,16.350,21 x 21,21,21,<empty>,0,0, ,0,0,0,15.05,B,17.65,B,6 SEP 19,120,.01,I,.04,N,IBM190906P120,0,96,-.010,.004,-.019,.005,.00,41.16%,.02473336,0.21%,0.02%,1.15%,2.28%,98.85%,1.12%,<empty>,.025,1 x 21,1,21,0.00%,.73,.73,I,0,0,0,,
,,IBM190906C121,0,0,.918,.011,-.128,.025,.009,62.79%,14.83,<empty>,<empty>,91.36%,16.93%,8.64%,13.25%,13.25%,14.825,21 x 21,21,21,<empty>,0,0, ,0,0,0,13.10,B,16.55,B,6 SEP 19,121,0,P,.04,Z,IBM190906P121,0,41,-.009,.004,-.016,.004,.00,37.64%,.02002483,0.16%,0.02%,1.03%,2.03%,98.97%,0.90%,<empty>,.020,0 x 26,0,26,0.00%,.30,.30,C,0,0,0,,
,,IBM190906C122,0,0,.922,.011,-.112,.024,.009,57.04%,13.77,<empty>,<empty>,91.86%,15.97%,8.14%,11.00%,11.00%,13.775,11 x 21,11,21,<empty>,0,0, ,0,0,0,13.40,H,14.15,B,6 SEP 19,122,.02,H,.04,D,IBM190906P122,53,8,-.013,.005,-.021,.006,.00,37.16%,.03001544,0.22%,0.02%,1.48%,2.93%,98.52%,1.35%,<empty>,.030,11 x 21,11,21,-84.62%,.04,.04,P,.04,.04,.04,,
,,IBM190906C123,0,30,.856,.017,-.231,.039,.012,73.46%,13.43,<empty>,<empty>,83.61%,31.93%,16.39%,40.20%,40.20%,13.425,21 x 21,21,21,0.00%,9.10,9.10,Z,0,0,0,12.25,B,14.60,B,6 SEP 19,123,0,B,.06,I,IBM190906P123,0,29,-.014,.006,-.021,.006,.00,34.70%,.0304323,0.21%,0.02%,1.58%,3.13%,98.42%,1.35%,<empty>,.030,0 x 41,0,41,0.00%,.15,.15,C,0,0,0,,
,,IBM190906C124,0,10,.914,.015,-.108,.027,.010,50.72%,11.80,<empty>,<empty>,90.79%,18.08%,9.21%,12.13%,12.13%,11.800,21 x 21,21,21,0.00%,8.70,8.70,C,0,0,0,11.40,B,12.20,B,6 SEP 19,124,.03,H,.06,D,IBM190906P124,6,149,-.020,.008,-.028,.009,.00,34.14%,.0454372,0.29%,0.04%,2.28%,4.50%,97.72%,2.02%,<empty>,.045,43 x 31,43,31,-44.44%,.05,.05,M,.05,.05,.05,,
