Stock quote and option quote for IBM on 10/25/19 20:46:10

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
135.44,N,+1.37,135.30,P,135.70,P,5 x 5,"2,579,055",134.12,135.93,134.10

UNDERLYING EXTRA INFO
Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
4.78%,15.75,1.62,Q,8/8/19,152.95,105.94,"885,875,160",1.12

Theo parameters
Theo date,Theo stock price,Theo volatility
10/25/19, 0.00$, 0.00%

25 OCT 19  (0)  100 (Weeklys)
,,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,Volume,Open.Int,Delta,Gamma,Theta,Vega,Rho,Impl Vol,Theo Price,ROC,ROR,Prob.ITM,Prob.Touch,Prob.OTM,Cov Return,Max Cov Return,Mark,Size,BS,AS,%Change,Last,LAST,LX,Open,High,Low,,
,,IBM191025C110,10,10,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-31.01%,0.00%,25.325,9 x 2,9,2,+10.68%,25.80,25.80,C,25.80,25.80,25.80,24.45,B,26.20,E,25 OCT 19,110,0,E,.02,W,IBM191025P110,0,25,-.003,.001,-.134,.001,.00,147.29%,.01001981,0.09%,0.01%,0.39%,0.77%,99.61%,2.70%,<empty>,.010,0 x 27,0,27,0.00%,.01,.01,I,0,0,0,,
,,IBM191025C114,0,0,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-44.50%,0.00%,21.275,1 x 9,1,9,<empty>,0,0, ,0,0,0,20.30,E,22.25,B,25 OCT 19,114,0,N,.02,I,IBM191025P114,0,0,-.004,.001,-.125,.001,.00,124.19%,.01004858,0.09%,0.01%,0.44%,0.87%,99.56%,2.70%,<empty>,.010,0 x 62,0,62,<empty>,0,0, ,0,0,0,,
,,IBM191025C115,0,0,.939,.001,-.689,.007,.00,175.27%,20.48,<empty>,<empty>,95.88%,8.09%,4.12%,9.44%,9.44%,20.475,21 x 21,21,21,<empty>,0,0, ,0,0,0,19.50,M,21.45,M,25 OCT 19,115,0,B,.03,B,IBM191025P115,0,1,-.005,.002,-.155,.001,.00,123.80%,.01502321,0.13%,0.01%,0.64%,1.26%,99.36%,4.05%,<empty>,.015,0 x 35,0,35,0.00%,.23,.23,H,0,0,0,,
,,IBM191025C116,10,17,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-17.53%,0.00%,19.375,2 x 9,2,9,-24.71%,19.80,19.80,E,19.80,19.80,19.80,18.55,E,20.20,B,25 OCT 19,116,0,Z,.03,B,IBM191025P116,0,458,-.006,.002,-.152,.001,.00,117.92%,.01503708,0.13%,0.01%,0.66%,1.30%,99.34%,4.05%,<empty>,.015,0 x 29,0,29,0.00%,.02,.02,M,0,0,0,,
,,IBM191025C117,0,0,.942,.001,-.577,.007,.00,152.58%,18.45,<empty>,<empty>,96.34%,7.19%,3.66%,2.70%,2.70%,18.450,9 x 1,9,1,<empty>,0,0, ,0,0,0,17.60,B,19.30,E,25 OCT 19,117,0,B,.03,B,IBM191025P117,0,9,-.006,.002,-.147,.001,.00,111.85%,.01479706,0.13%,0.01%,0.68%,1.34%,99.32%,4.05%,<empty>,.015,0 x 35,0,35,0.00%,.01,.01,M,0,0,0,,
,,IBM191025C118,0,0,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-17.53%,0.00%,17.375,9 x 2,9,2,<empty>,0,0, ,0,0,0,16.60,B,18.15,E,25 OCT 19,118,0,B,.05,C,IBM191025P118,0,0,-.009,.003,-.193,.002,.00,112.82%,.02475074,0.21%,0.02%,1.06%,2.10%,98.94%,6.74%,<empty>,.025,0 x 60,0,60,<empty>,0,0, ,0,0,0,,
,,IBM191025C119,0,0,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-4.05%,0.00%,16.425,31 x 9,31,9,<empty>,0,0, ,0,0,0,15.65,I,17.20,B,25 OCT 19,119,0,Z,.07,A,IBM191025P119,0,8,-.012,.004,-.231,.002,.00,111.72%,.0350021,0.29%,0.03%,1.45%,2.87%,98.55%,9.44%,<empty>,.035,0 x 29,0,29,0.00%,.02,.02,A,0,0,0,,
,,IBM191025C120,0,21,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-17.53%,0.00%,15.375,9 x 1,9,1,0.00%,14.35,14.35,X,0,0,0,14.65,B,16.10,E,25 OCT 19,120,0,Z,.03,P,IBM191025P120,0,229,-.007,.003,-.138,.001,.00,94.58%,.01501777,0.13%,0.01%,0.78%,1.54%,99.22%,4.05%,<empty>,.015,0 x 22,0,22,0.00%,.03,.03,D,0,0,0,,
,,IBM191025C121,0,0,.942,.004,-.500,.007,.001,123.02%,14.50,<empty>,<empty>,95.71%,8.47%,4.29%,16.18%,16.18%,14.500,9 x 2,9,2,<empty>,0,0, ,0,0,0,13.65,B,15.35,E,25 OCT 19,121,0,Q,.01,Q,IBM191025P121,0,57,-.003,.002,-.071,.001,.00,78.75%,.00499993,0.04%,0.00%,0.33%,0.66%,99.67%,1.35%,<empty>,.005,0 x 1,0,1,0.00%,.01,.01,M,0,0,0,,
,,IBM191025C122,0,0,1.000,.00,.00,.00,.00,--,<empty>,<empty>,<empty>,100.00%,<empty>,0.00%,-17.53%,0.00%,13.375,31 x 31,31,31,<empty>,0,0, ,0,0,0,12.55,I,14.20,X,25 OCT 19,122,0,E,.02,I,IBM191025P122,0,117,-.006,.003,-.103,.001,.00,79.17%,.01000881,0.07%,0.01%,0.62%,1.23%,99.38%,2.70%,<empty>,.010,0 x 58,0,58,0.00%,.01,.01,M,0,0,0,,
