SYMBOL,DT,OPTION,QTY,PRICE,EXCHANGE,SPREAD,DELTA,IV,SPOT,,
IBM,15:59:58,1 NOV 19 134 P,3,0.59,CBOE,.58x.63,-0.3,16.31%,135.58,,
IBM,15:58:34,25 OCT 19 134 C,31,1.6,NASDAQ,1.60x1.64,1,++,135.58,,
IBM,15:58:34,25 OCT 19 134 C,3,1.6,NASDAQ,1.60x1.64,1,++,135.58,,
IBM,15:58:29,25 OCT 19 134 C,1,1.6,NASDAQ,1.60x1.64,1,++,135.58,,
IBM,15:57:28,1 NOV 19 131 P,4,0.17,CBOE,.17x.18,-0.1,19.05%,135.485,,
IBM,15:57:28,1 NOV 19 131 P,10,0.17,CBOE,.17x.18,-0.1,19.05%,135.485,,
IBM,15:56:26,25 OCT 19 134 C,30,1.49,BEST,1.49x1.54,1,++,135.43,,
IBM,15:56:21,1 NOV 19 131 P,1,0.17,ISE,.17x.18,-0.1,18.89%,135.43,Spread,
IBM,15:56:09,1 NOV 19 131 P,3,0.18,NASDAQ,.18x.19,-0.104,19.20%,135.43,,
IBM,15:52:54,25 OCT 19 134 C,9,1.41,ISE,1.32x1.42,1,++,135.385,Spread,
IBM,15:52:54,25 OCT 19 134 C,1,1.41,ISE,1.32x1.42,1,++,135.385,Spread,
IBM,15:47:24,25 OCT 19 134 C,1,1.35,CBOE,1.33x1.42,1,--,135.3746,,
IBM,15:47:24,25 OCT 19 134 C,1,1.35,CBOE,1.33x1.42,1,--,135.3746,,
IBM,15:47:24,25 OCT 19 134 C,1,1.35,CBOE,1.33x1.42,1,--,135.3746,,
IBM,15:47:07,25 OCT 19 134 C,1,1.38,BEST,1.38x1.42,1,++,135.3746,,
IBM,15:46:55,25 OCT 19 134 C,2,1.35,CBOE,1.30x1.42,1,--,135.44,,
IBM,15:46:54,1 NOV 19 134 P,3,0.63,NYSE,.63x.66,-0.316,16.27%,135.44,,
IBM,15:46:49,25 OCT 19 134 C,20,1.32,BEST,1.28x1.37,1,--,135.44,,
IBM,15:46:22,25 OCT 19 134 C,1,1.3,NASDAQ,1.30x1.40,1,--,135.44,,
IBM,15:46:22,1 NOV 19 131 C,3,4.55,CBOE,4.55x4.65,0.911,17.72%,135.44,,
IBM,15:46:22,1 NOV 19 131 C,4,4.55,NYSE,4.55x4.65,0.911,17.72%,135.44,,
IBM,15:46:22,1 NOV 19 134 P,20,0.63,C2,.62x.66,-0.316,16.27%,135.44,Spread,
